Ambiente,Clon,pH,matOrg,Fosforo,Aluminio,Potasio,Calcio,Magnesio,Sodio,Repeticion,indiceMazorca,indiceGrano,fenolesTot,actAntxd,porcAceite,acPalmitico,acEstearico,acOleico,acLinoleico,porcCenizas,rT_C,Catequina,Epicatequina
Santander,CCN 51,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,1,7.287,2.453,32.276,698.74,49.078,28.468,32.244,32.77,3.575,3.538,4.517,6.456,3.722
Santander,CCN 51,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,2,7,2.953,31.771,699.607,50.482,28.999,32.743,33.332,3.664,3.555,4.638,8.616,4.146
Santander,CCN 51,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,3,7,2.899,31.931,774.478,49.78,28.976,32.816,33.308,3.62,3.551,4.725,7.536,3.934
Santander,FEAR 5,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,1,9.092,2.606,38.453,1253.221,47.012,22.288,35.036,37.34,3.015,3.825,2.671,9.596,12.167
Santander,FEAR 5,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,2,9,2.523,38.028,1286.235,45.836,22.171,35.474,37.135,3.033,4.068,4.151,9.836,12.14
Santander,FEAR 5,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,3,9,2.285,38.471,1289.951,46.424,22.298,35.228,37.055,3.209,3.675,4.164,9.716,12.153
Santander,FEC 2,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,1,8.796,2.319,35.055,869.204,45.112,30.504,31.024,33.734,3.336,3.892,6.173,12.521,19.562
Santander,FEC 2,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,2,9,2.4,33.882,900.202,47.013,30.742,30.861,33.586,3.395,4.197,6.297,12.068,20.088
Santander,FEC 2,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,3,9,2.303,34.67,879.246,46.062,30.713,30.86,33.621,3.391,3.591,6.266,12.294,19.825
Santander,FLE 3,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,1,10.476,2.027,33.478,744.462,58.003,26.479,35.816,33.458,3.001,3.694,3.837,12.249,10.495
Santander,FLE 3,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,2,10,2.539,33.56,738.152,57.583,26.453,35.824,33.475,2.994,3.804,3.744,11.388,10.049
Santander,FLE 3,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,3,10,2.957,34.217,776.937,57.793,26.502,35.79,33.438,3.023,3.986,3.788,11.818,10.272
Santander,FSA 12,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,1,11.691,1.764,56.639,1444.125,51.798,26.846,34.827,33.998,3.085,3.983,4.928,19.579,13.246
Santander,FSA 12,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,2,12,2.186,58.074,1512.473,50.301,26.77,34.851,34.028,3.086,4.564,4.726,23.635,20.295
Santander,FSA 12,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,3,12,2.011,55.541,1558.971,51.05,26.737,34.912,34.037,3.041,4.776,4.828,21.607,16.77
Santander,FSV 41,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,1,5.687,3.086,32.268,829.967,49.833,31.106,30.496,33.961,3.1,4.574,2.33,6.237,22.079
Santander,FSV 41,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,2,6,3.515,31.109,839.278,51.472,31.236,30.413,33.898,3.116,3.86,2.345,4.765,16.041
Santander,FSV 41,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,3,6,3.843,30.545,820.476,50.653,31.109,30.485,33.944,3.103,3.196,2.638,5.501,19.06
Santander,ICS 95,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,1,9.467,3.075,38.321,840.604,43.093,32.207,28.578,35.003,3.056,4.373,2.75,3.058,6.338
Santander,ICS 95,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,2,9,2.86,37.979,902.28,42.618,32.227,28.562,34.964,3.065,3.587,2.948,2.812,9.372
Santander,ICS 95,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,3,9,2.482,38.457,898.046,42.856,32.241,28.559,34.916,3.057,3.812,2.924,2.935,7.855
Santander,SCC 23,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,1,9.227,1.965,32.252,677.492,42.538,29.068,31.133,34.176,3.805,4.647,3.533,8.842,15.737
Santander,SCC 23,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,2,9,2.554,31.45,678.268,43.876,29.134,31.254,34.427,3.843,4.304,3.603,8.594,16.411
Santander,SCC 23,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,3,9,2.374,32.105,662.257,43.207,28.853,30.897,33.979,3.795,4.38,3.573,8.718,16.074
Santander,SCC 55,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,1,10.605,2.863,29.935,597.909,48.636,30.148,32.051,33.068,3.473,3.054,3.095,6.639,9.328
Santander,SCC 55,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,2,11,2.787,30.111,589.98,47.531,30.171,32.014,33.052,3.488,3.335,3.205,6.538,9.046
Santander,SCC 55,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,3,11,2.258,27.527,596.656,48.084,30.014,32.147,33.091,3.468,3.423,2.985,6.589,9.187
Santander,SCC 80,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,1,9.938,2.177,39.192,1124.89,46.05,27.724,33.077,34.292,3.693,3.01,3.427,12.728,12.977
Santander,SCC 80,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,2,10,1.877,38.498,1173.571,45.813,27.701,33.023,34.252,3.721,3.405,3.42,14.582,12.735
Santander,SCC 80,6.8,12.72,80.94,0,0.38,19.28,3.64,0.05,3,10,2.101,39.273,1091.713,45.932,27.714,33.05,34.272,3.705,3.574,3.417,13.655,12.856
Huila,CCN 51,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,1,19,1.05,32.099,1446.47,48.76,28.389,32.416,33.929,3.911,5.399,5.471728763,7.094,56.017
Huila,CCN 51,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,2,19,1.05,32.988,1417.365,48.035,28.298,32.494,33.886,3.882,3.495,5.451200576,6.537,57
Huila,CCN 51,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,3,19,1.05,31.875,1524.087,48.398,28.322,32.447,33.901,3.886,3.618,5.576373499,6.816,56.508
Huila,FEAR 5,5.97,4.38,74.42,0,0.33,6.29,1.91,0.05,1,17,1.341,35.346,1547.766,43.543,28.803,32.408,34.213,3.255,3.484,4.213023694,7.015,57.174
