Date	Value
19780102	19
19780103	18.9
19780104	19
19780105	19
19780106	19
19780107	19.9
19780108	19.6
19780109	19.9
19780110	19.9
19780111	19.2
19780112	19.7
19780113	18.9
19780114	19.9
19780115	19.8
19780116	18.9
19780117	19
19780118	19.2
19780119	19
19780120	18.7
19780121	19
19780122	19.2
19780123	20.4
19780124	22
19780125	22.1
19780126	22.6
19780127	23
19780128	21.8
19780129	21.8
19780130	22.8
19780131	22.4
19780201	22
19780202	22.3
19780203	19.9
19780204	19.4
19780205	20.8
19780206	20.1
19780207	20.4
19780208	21
19780209	20.8
19780210	19.8
19780211	20
19780212	21.3
19780213	21.3
19780214	21.5
19780215	20.9
19780216	20.4
19780217	21
19780218	21.3
19780219	22.3
19780220	21.3
19780221	21.2
19780222	21.3
19780223	22.2
19780224	22.1
19780225	19.9
19780226	21.3
19780227	20.9
19780228	21.2
19780301	22.1
19780302	22
19780303	24.4
19780304	20.9
19780305	22.4
19780306	22.5
19780307	21.7
19780308	21.4
19780309	21.4
19780310	22
19780311	21.7
19780312	21.3
19780313	20.1
19780314	21.4
19780315	21
19780316	22
19780317	23
19780318	25
19780319	24.2
19780320	22
19780321	22.1
19780322	24
19780323	25
19780324	NA
19780325	24
19780326	23
19780327	21.2
19780328	23
19780329	22.8
19780330	22.5
19780331	23
19780401	23
19780402	NA
19780403	21.4
19780404	23
19780405	22.2
19780406	21.8
19780407	22.7
19780408	21.7
19780409	22
19780410	22.7
19780411	22.6
19780412	22.7
19780413	23
19780414	23.2
19780415	23.8
19780416	23.7
19780417	23.1
19780418	23.2
19780419	23
19780420	23.1
19780421	23.2
19780422	22.4
19780423	23.1
19780424	22.6
19780425	23.4
19780426	23.3
19780427	23.4
19780428	23.4
19780429	23.6
19780430	23
19780501	23.7
19780502	22.7
19780503	23.7
19780504	21.8
19780505	22.5
19780506	22.1
19780507	23.1
19780508	21.8
19780509	21.9
19780510	22.2
19780511	22.8
19780512	22.2
19780513	23.5
19780514	23.2
19780515	22.2
19780516	22.4
19780517	22.2
19780518	22.3
19780519	22.2
19780520	22.1
19780521	23
19780522	23
19780523	24.2
19780524	22.2
19780525	23.8
19780526	22.5
19780527	21
19780528	22.5
19780529	23
19780530	22.5
19780531	23.1
19780601	22
19780602	21.4
19780603	22.2
19780604	22.2
19780605	22
19780606	21
19780607	22.2
19780608	22
19780609	21.4
19780610	23.5
19780611	22
19780612	22
19780613	22.4
19780614	22.3
19780615	22.7
19780616	23.3
19780617	23
19780618	23.3
19780619	22.3
19780620	22.9
19780621	23
19780622	21.7
19780623	22.7
19780624	23
19780625	22.9
19780626	22.9
19780627	22.8
19780628	22.8
19780629	22.9
19780630	22.8
19780701	20.9
19780702	21.7
19780703	22.8
19780704	23
19780705	22.2
19780706	22.9
19780707	23.6
19780708	22.3
19780709	22.8
19780710	22.9
19780711	22.4
19780712	23.4
19780713	22.8
19780714	22.7
19780715	22.8
19780716	22
19780717	22.2
