"Date"	"Value"	"Out4Desv"
2005-06-30	NA	NA
2005-07-01	NA	NA
2005-07-02	NA	NA
2005-07-03	NA	NA
2005-07-04	NA	NA
2005-07-05	NA	NA
2005-07-06	NA	NA
2005-07-07	NA	NA
2005-07-08	NA	NA
2005-07-09	NA	NA
2005-07-10	NA	NA
2005-07-11	NA	NA
2005-07-12	NA	NA
2005-07-13	NA	NA
2005-07-14	NA	NA
2005-07-15	NA	NA
2005-07-16	NA	NA
2005-07-17	NA	NA
2005-07-18	NA	NA
2005-07-19	NA	NA
2005-07-20	NA	NA
2005-07-21	NA	NA
2005-07-22	NA	NA
2005-07-23	NA	NA
2005-07-24	NA	NA
2005-07-25	NA	NA
2005-07-26	NA	NA
2005-07-27	NA	NA
2005-07-28	NA	NA
2005-07-29	NA	NA
2005-07-30	NA	NA
2005-07-31	NA	NA
2005-08-01	NA	NA
2005-08-02	NA	NA
2005-08-03	NA	NA
2005-08-04	NA	NA
2005-08-05	NA	NA
2005-08-06	NA	NA
2005-08-07	NA	NA
2005-08-08	NA	NA
2005-08-09	NA	NA
2005-08-10	NA	NA
2005-08-11	NA	NA
2005-08-12	NA	NA
2005-08-13	NA	NA
2005-08-14	NA	NA
2005-08-15	NA	NA
2005-08-16	NA	NA
2005-08-17	NA	NA
2005-08-18	NA	NA
2005-08-19	NA	NA
2005-08-20	NA	NA
2005-08-21	NA	NA
2005-08-22	NA	NA
2005-08-23	NA	NA
2005-08-24	NA	NA
2005-08-25	NA	NA
2005-08-26	NA	NA
2005-08-27	NA	NA
2005-08-28	NA	NA
2005-08-29	NA	NA
2005-08-30	NA	NA
2005-08-31	NA	NA
2005-09-01	NA	NA
2005-09-02	NA	NA
2005-09-03	NA	NA
2005-09-04	NA	NA
2005-09-05	NA	NA
2005-09-06	NA	NA
2005-09-07	NA	NA
2005-09-08	NA	NA
2005-09-09	NA	NA
2005-09-10	NA	NA
2005-09-11	NA	NA
2005-09-12	NA	NA
2005-09-13	NA	NA
2005-09-14	NA	NA
2005-09-15	NA	NA
2005-09-16	NA	NA
2005-09-17	NA	NA
2005-09-18	NA	NA
2005-09-19	NA	NA
2005-09-20	NA	NA
2005-09-21	NA	NA
2005-09-22	NA	NA
2005-09-23	NA	NA
2005-09-24	NA	NA
2005-09-25	NA	NA
2005-09-26	NA	NA
2005-09-27	NA	NA
2005-09-28	NA	NA
2005-09-29	NA	NA
2005-09-30	NA	NA
2005-10-01	NA	NA
2005-10-02	NA	NA
2005-10-03	NA	NA
2005-10-04	NA	NA
2005-10-05	NA	NA
2005-10-06	NA	NA
2005-10-07	NA	NA
2005-10-08	NA	NA
2005-10-09	NA	NA
2005-10-10	NA	NA
2005-10-11	NA	NA
2005-10-12	NA	NA
2005-10-13	NA	NA
2005-10-14	13.5285714285714	"Out3SD"
2005-10-15	13.9291666666667	"Out3SD"
2005-10-16	14.9666666666667	"Out3SD"
2005-10-17	15.7260869565217	"Out3SD"
2005-10-18	16.0958333333333	"Out3SD"
2005-10-19	NA	NA
2005-10-20	NA	NA
2005-10-21	16.325	"Out3SD"
2005-10-22	15.7647058823529	"Out3SD"
2005-10-23	NA	NA
2005-10-24	13.1208333333333	"Out3SD"
2005-10-25	13.7714285714286	"Out3SD"
2005-10-26	13.19	"Out3SD"
2005-10-27	NA	NA
2005-10-28	15.2333333333333	"Out3SD"
2005-10-29	14.3333333333333	"Out3SD"
2005-10-30	15.3681818181818	"Out3SD"
2005-10-31	16.5041666666667	"Out3SD"
2005-11-01	15.58	"Out3SD"
2005-11-02	16.88125	"Out3SD"
2005-11-03	15.9826086956522	"Out3SD"
2005-11-04	16.1708333333333	"Out3SD"
2005-11-05	15.7625	"Out3SD"
2005-11-06	15.8260869565217	"Out3SD"
2005-11-07	15.948	"Out3SD"
2005-11-08	12.12	"Out3SD"
2005-11-09	NA	NA
2005-11-10	NA	NA
2005-11-11	NA	NA
2005-11-12	NA	NA
2005-11-13	NA	NA
2005-11-14	NA	NA
2005-11-15	NA	NA
2005-11-16	NA	NA
2005-11-17	NA	NA
2005-11-18	NA	NA
2005-11-19	NA	NA
2005-11-20	NA	NA
2005-11-21	25.0521739130435	NA
2005-11-22	26.5166666666667	NA
2005-11-23	26.324	NA
2005-11-24	25.2666666666667	NA
2005-11-25	23.35	NA
2005-11-26	26.5869565217391	NA
2005-11-27	25.8833333333333	NA
2005-11-28	25.3916666666667	NA
2005-11-29	25.6875	NA
2005-11-30	25.9863636363636	NA
2005-12-01	26.025	NA
2005-12-02	25.872	NA
2005-12-03	25.9333333333333	NA
2005-12-04	25.7913043478261	NA
2005-12-05	26.012	NA
2005-12-06	26.3708333333333	NA
2005-12-07	26.1913043478261	NA
2005-12-08	25.452	NA
2005-12-09	26.304347826087	NA
2005-12-10	25.62	NA
2005-12-11	23.2958333333333	NA
2005-12-12	26.1913043478261	NA
2005-12-13	26.044	NA
2005-12-14	25.5041666666667	NA
2005-12-15	25.404347826087	NA
2005-12-16	26.9578947368421	NA
2005-12-17	25.4125	NA
2005-12-18	26.2608695652174	NA
2005-12-19	25.1458333333333	NA
2005-12-20	24.6875	NA
2005-12-21	25.075	NA
2005-12-22	25.4347826086957	NA
2005-12-23	25.632	NA
2005-12-24	25.5666666666667	NA
2005-12-25	25.975	NA
2005-12-26	24.8434782608696	NA
2005-12-27	24.8333333333333	NA
2005-12-28	24.9818181818182	NA
2005-12-29	24.2260869565217	NA
2005-12-30	23.976	NA
2005-12-31	NA	NA
2006-01-01	24.1	NA
2006-01-02	27.64	NA
2006-01-03	25.4833333333333	NA
2006-01-04	25.244	NA
2006-01-05	27.75	NA
2006-01-06	27.488	NA
2006-01-07	25.6086956521739	NA
2006-01-08	26.008	NA
2006-01-09	23.78	NA
2006-01-10	23.744	NA
2006-01-11	24.6954545454545	NA
2006-01-12	24.412	NA
2006-01-13	NA	NA
2006-01-14	27.6153846153846	NA
2006-01-15	27.05	NA
2006-01-16	NA	NA
2006-01-17	25.7384615384615	NA
2006-01-18	NA	NA
2006-01-19	24.588	NA
2006-01-20	23.9791666666667	NA
2006-01-21	24.9846153846154	NA
2006-01-22	26.375	NA
2006-01-23	26.972	NA
2006-01-24	26.112	NA
2006-01-25	NA	NA
2006-01-26	NA	NA
2006-01-27	25.4260869565217	NA
2006-01-28	NA	NA
2006-01-29	NA	NA
2006-01-30	NA	NA
2006-01-31	26.5478260869565	NA
2006-02-01	NA	NA
2006-02-02	NA	NA
2006-02-03	NA	NA
2006-02-04	26.6695652173913	NA
2006-02-05	NA	NA
2006-02-06	NA	NA
2006-02-07	NA	NA
2006-02-08	NA	NA
2006-02-09	NA	NA
2006-02-10	NA	NA
2006-02-11	NA	NA
2006-02-12	26.3478260869565	NA
2006-02-13	NA	NA
2006-02-14	NA	NA
2006-02-15	NA	NA
2006-02-16	25.7791666666667	NA
2006-02-17	NA	NA
2006-02-18	NA	NA
2006-02-19	NA	NA
2006-02-20	25.6416666666667	NA
2006-02-21	NA	NA
2006-02-22	NA	NA
2006-02-23	NA	NA
2006-02-24	27.0304347826087	NA
2006-02-25	NA	NA
2006-02-26	NA	NA
2006-02-27	NA	NA
2006-02-28	26.9583333333333	NA
2006-03-01	NA	NA
2006-03-02	NA	NA
2006-03-03	NA	NA
2006-03-04	28.3458333333333	NA
2006-03-05	NA	NA
2006-03-06	NA	NA
2006-03-07	NA	NA
2006-03-08	25.3583333333333	NA
2006-03-09	NA	NA
2006-03-10	NA	NA
2006-03-11	NA	NA
2006-03-12	25.75	NA
2006-03-13	NA	NA
2006-03-14	NA	NA
2006-03-15	NA	NA
2006-03-16	26.232	NA
2006-03-17	NA	NA
2006-03-18	NA	NA
2006-03-19	NA	NA
2006-03-20	24.2347826086957	NA
2006-03-21	NA	NA
2006-03-22	NA	NA
2006-03-23	34.62	"Out3SD"
2006-03-24	26.784	NA
2006-03-25	NA	NA
2006-03-26	NA	NA
2006-03-27	NA	NA
2006-03-28	25.2409090909091	NA
2006-03-29	NA	NA
2006-03-30	NA	NA
2006-03-31	NA	NA
2006-04-01	27.3818181818182	NA
2006-04-02	NA	NA
2006-04-03	NA	NA
2006-04-04	NA	NA
2006-04-05	NA	NA
2006-04-06	NA	NA
2006-04-07	NA	NA
2006-04-08	NA	NA
2006-04-09	27.0541666666667	NA
2006-04-10	NA	NA
2006-04-11	NA	NA
2006-04-12	NA	NA
2006-04-13	23.8625	NA
2006-04-14	NA	NA
2006-04-15	NA	NA
2006-04-16	NA	NA
2006-04-17	24.7083333333333	NA
2006-04-18	NA	NA
2006-04-19	NA	NA
2006-04-20	NA	NA
2006-04-21	26.8541666666667	NA
2006-04-22	NA	NA
2006-04-23	33.948	"Out3SD"
2006-04-24	NA	NA
2006-04-25	26.3608695652174	NA
2006-04-26	NA	NA
2006-04-27	NA	NA
2006-04-28	NA	NA
2006-04-29	25.372	NA
2006-04-30	NA	NA
2006-05-01	NA	NA
2006-05-02	NA	NA
2006-05-03	24.0083333333333	NA
2006-05-04	NA	NA
2006-05-05	NA	NA
2006-05-06	NA	NA
2006-05-07	24.8291666666667	NA
2006-05-08	NA	NA
2006-05-09	NA	NA
2006-05-10	NA	NA
2006-05-11	24.8130434782609	NA
2006-05-12	NA	NA
2006-05-13	NA	NA
2006-05-14	NA	NA
2006-05-15	25.3708333333333	NA
2006-05-16	NA	NA
2006-05-17	NA	NA
2006-05-18	NA	NA
2006-05-19	23.6583333333333	NA
2006-05-20	NA	NA
2006-05-21	NA	NA
2006-05-22	NA	NA
2006-05-23	26.4086956521739	NA
2006-05-24	NA	NA
2006-05-25	NA	NA
2006-05-26	NA	NA
2006-05-27	25.9086956521739	NA
2006-05-28	NA	NA
2006-05-29	NA	NA
2006-05-30	NA	NA
