"Date"	"Value"	"Out4Desv"
2005-01-01	0	NA
2005-01-02	0	NA
2005-01-03	0	NA
2005-01-04	0	NA
2005-01-05	2.2	NA
2005-01-06	0	NA
2005-01-07	0	NA
2005-01-08	0	NA
2005-01-09	0	NA
2005-01-10	0	NA
2005-01-11	0.1	NA
2005-01-12	0	NA
2005-01-13	8	NA
2005-01-14	2	NA
2005-01-15	0.8	NA
2005-01-16	0	NA
2005-01-17	0	NA
2005-01-18	0	NA
2005-01-19	0	NA
2005-01-20	0	NA
2005-01-21	0	NA
2005-01-22	0	NA
2005-01-23	0	NA
2005-01-24	0	NA
2005-01-25	0	NA
2005-01-26	0	NA
2005-01-27	0	NA
2005-01-28	0	NA
2005-01-29	0	NA
2005-01-30	0	NA
2005-01-31	0	NA
2005-02-01	0	NA
2005-02-02	0	NA
2005-02-03	0	NA
2005-02-04	0	NA
2005-02-05	0	NA
2005-02-06	0	NA
2005-02-07	0	NA
2005-02-08	5.4	NA
2005-02-09	2.2	NA
2005-02-10	3.6	NA
2005-02-11	0.1	NA
2005-02-12	2.2	NA
2005-02-13	0	NA
2005-02-14	0	NA
2005-02-15	0	NA
2005-02-16	0	NA
2005-02-17	0	NA
2005-02-18	0	NA
2005-02-19	0	NA
2005-02-20	0	NA
2005-02-21	0	NA
2005-02-22	0	NA
2005-02-23	0	NA
2005-02-24	0	NA
2005-02-25	0	NA
2005-02-26	0	NA
2005-02-27	0	NA
2005-02-28	0	NA
2005-03-01	0	NA
2005-03-02	0	NA
2005-03-03	0	NA
2005-03-04	0	NA
2005-03-05	0	NA
2005-03-06	0	NA
2005-03-07	0	NA
2005-03-08	0	NA
2005-03-09	0	NA
2005-03-10	0	NA
2005-03-11	0	NA
2005-03-12	0	NA
2005-03-13	0	NA
2005-03-14	0	NA
2005-03-15	0	NA
2005-03-16	0	NA
2005-03-17	0	NA
2005-03-18	0	NA
2005-03-19	0	NA
2005-03-20	0	NA
2005-03-21	0	NA
2005-03-22	0	NA
2005-03-23	2.2	NA
2005-03-24	0	NA
2005-03-25	0	NA
2005-03-26	0	NA
2005-03-27	0	NA
2005-03-28	0	NA
2005-03-29	0	NA
2005-03-30	0	NA
2005-03-31	0	NA
2005-04-01	0	NA
2005-04-02	34.2	NA
2005-04-03	0	NA
2005-04-04	2.8	NA
2005-04-05	2.8	NA
2005-04-06	10.6	NA
2005-04-07	0	NA
2005-04-08	19	NA
2005-04-09	0	NA
2005-04-10	16.1	NA
2005-04-11	0.2	NA
2005-04-12	22	NA
2005-04-13	1.1	NA
2005-04-14	30.4	NA
2005-04-15	0	NA
2005-04-16	0	NA
2005-04-17	0	NA
2005-04-18	0	NA
2005-04-19	1	NA
2005-04-20	3.7	NA
2005-04-21	0.2	NA
2005-04-22	17.8	NA
2005-04-23	0	NA
2005-04-24	0	NA
2005-04-25	0	NA
2005-04-26	0	NA
2005-04-27	8.8	NA
2005-04-28	0	NA
2005-04-29	3.4	NA
2005-04-30	0.1	NA
2005-05-01	23.2	NA
2005-05-02	2.4	NA
2005-05-03	30.7	NA
2005-05-04	4.5	NA
2005-05-05	2.2	NA
2005-05-06	23.7	NA
2005-05-07	0	NA
2005-05-08	0.2	NA
2005-05-09	7.8	NA
2005-05-10	0.4	NA
2005-05-11	0.8	NA
2005-05-12	0	NA
2005-05-13	31	NA
2005-05-14	0.1	NA
2005-05-15	0	NA
2005-05-16	7.8	NA
2005-05-17	0	NA
2005-05-18	26.2	NA
2005-05-19	0	NA
2005-05-20	0	NA
2005-05-21	0	NA
2005-05-22	0	NA
2005-05-23	2.1	NA
2005-05-24	0	NA
2005-05-25	0	NA
2005-05-26	0	NA
2005-05-27	18.9	NA
2005-05-28	0.5	NA
2005-05-29	0	NA
2005-05-30	28.7	NA
2005-05-31	21.6	NA
2005-06-01	6	NA
2005-06-02	0.5	NA
2005-06-03	4.7	NA
2005-06-04	26.4	NA
2005-06-05	0	NA
2005-06-06	6.7	NA
2005-06-07	0	NA
2005-06-08	37.5	NA
2005-06-09	4.8	NA
2005-06-10	8.1	NA
2005-06-11	0.3	NA
2005-06-12	0.3	NA
2005-06-13	0	NA
2005-06-14	4.7	NA
2005-06-15	0.7	NA
2005-06-16	1.2	NA
2005-06-17	0.8	NA
2005-06-18	2	NA
2005-06-19	3.3	NA
2005-06-20	47.7	NA
2005-06-21	8.3	NA
2005-06-22	0	NA
2005-06-23	5.3	NA
2005-06-24	15.1	NA
2005-06-25	9.3	NA
2005-06-26	23.6	NA
2005-06-27	0	NA
2005-06-28	3.4	NA
2005-06-29	23.7	NA
2005-06-30	40.2	NA
2005-07-01	0	NA
2005-07-02	0	NA
2005-07-03	0	NA
2005-07-04	0	NA
2005-07-05	0	NA
2005-07-06	0	NA
2005-07-07	0	NA
2005-07-08	8.1	NA
2005-07-09	0	NA
2005-07-10	0	NA
2005-07-11	0.4	NA
2005-07-12	0.4	NA
2005-07-13	0	NA
2005-07-14	0	NA
2005-07-15	2.5	NA
2005-07-16	0.4	NA
2005-07-17	4.1	NA
2005-07-18	36.5	NA
2005-07-19	15.1	NA
2005-07-20	1.7	NA
2005-07-21	0.6	NA
2005-07-22	60.1	NA
2005-07-23	29.9	NA
2005-07-24	0	NA
2005-07-25	0	NA
2005-07-26	25.1	NA
2005-07-27	2.1	NA
2005-07-28	4.1	NA
2005-07-29	0.6	NA
2005-07-30	3.5	NA
2005-07-31	8.9	NA
2005-08-01	0.1	NA
2005-08-02	6.8	NA
2005-08-03	1.5	NA
2005-08-04	6.5	NA
2005-08-05	0.7	NA
2005-08-06	0	NA
2005-08-07	38.7	NA
2005-08-08	3.1	NA
2005-08-09	4.9	NA
2005-08-10	0	NA
2005-08-11	5.1	NA
2005-08-12	0	NA
2005-08-13	0	NA
