"Date"	"Value"	"Out4Desv"
2005-01-01	72	NA
2005-01-02	78	NA
2005-01-03	73	NA
2005-01-04	70	NA
2005-01-05	85	NA
2005-01-06	80	NA
2005-01-07	82	NA
2005-01-08	80	NA
2005-01-09	79	NA
2005-01-10	75	NA
2005-01-11	73	NA
2005-01-12	NA	NA
2005-01-13	85	NA
2005-01-14	73	NA
2005-01-15	88	NA
2005-01-16	84	NA
2005-01-17	78	NA
2005-01-18	73	NA
2005-01-19	69	NA
2005-01-20	66	NA
2005-01-21	63	NA
2005-01-22	70	NA
2005-01-23	71	NA
2005-01-24	67	NA
2005-01-25	61	NA
2005-01-26	67	NA
2005-01-27	65	NA
2005-01-28	68	NA
2005-01-29	63	NA
2005-01-30	63	NA
2005-01-31	69	NA
2005-02-01	63	NA
2005-02-02	58	NA
2005-02-03	69	NA
2005-02-04	64	NA
2005-02-05	76	NA
2005-02-06	69	NA
2005-02-07	72	NA
2005-02-08	81	NA
2005-02-09	88	NA
2005-02-10	91	NA
2005-02-11	80	NA
2005-02-12	83	NA
2005-02-13	66	NA
2005-02-14	69	NA
2005-02-15	64	NA
2005-02-16	70	NA
2005-02-17	69	NA
2005-02-18	64	NA
2005-02-19	68	NA
2005-02-20	66	NA
2005-02-21	70	NA
2005-02-22	69	NA
2005-02-23	66	NA
2005-02-24	68	NA
2005-02-25	70	NA
2005-02-26	68	NA
2005-02-27	65	NA
2005-02-28	64	NA
2005-03-01	62	NA
2005-03-02	64	NA
2005-03-03	66	NA
2005-03-04	69	NA
2005-03-05	66	NA
2005-03-06	62	NA
2005-03-07	65	NA
2005-03-08	62	NA
2005-03-09	62	NA
2005-03-10	54	NA
2005-03-11	55	NA
2005-03-12	59	NA
2005-03-13	59	NA
2005-03-14	50	"Out3SD"
2005-03-15	49	"Out3SD"
2005-03-16	54	NA
2005-03-17	56	NA
2005-03-18	54	NA
2005-03-19	57	NA
2005-03-20	61	NA
2005-03-21	55	NA
2005-03-22	52	NA
2005-03-23	57	NA
2005-03-24	65	NA
2005-03-25	59	NA
2005-03-26	52	NA
2005-03-27	57	NA
2005-03-28	52	NA
2005-03-29	54	NA
2005-03-30	56	NA
2005-03-31	58	NA
2005-04-01	57	NA
2005-04-02	63	NA
2005-04-03	84	NA
2005-04-04	78	NA
2005-04-05	69	NA
2005-04-06	84	NA
2005-04-07	67	NA
2005-04-08	70	NA
2005-04-09	87	NA
2005-04-10	91	NA
2005-04-11	76	NA
2005-04-12	86	NA
2005-04-13	87	NA
2005-04-14	93	NA
2005-04-15	NA	NA
2005-04-16	79	NA
2005-04-17	79	NA
2005-04-18	79	NA
2005-04-19	79	NA
2005-04-20	96	NA
2005-04-21	85	NA
2005-04-22	76	NA
2005-04-23	84	NA
2005-04-24	71	NA
2005-04-25	83	NA
2005-04-26	74	NA
2005-04-27	85	NA
2005-04-28	NA	NA
2005-04-29	83	NA
2005-04-30	80	NA
2005-05-01	83	NA
2005-05-02	90	NA
2005-05-03	80	NA
2005-05-04	91	NA
2005-05-05	80	NA
2005-05-06	94	NA
2005-05-07	80	NA
2005-05-08	84	NA
2005-05-09	86	NA
2005-05-10	82	NA
2005-05-11	83	NA
2005-05-12	85	NA
2005-05-13	95	NA
2005-05-14	82	NA
2005-05-15	84	NA
2005-05-16	82	NA
2005-05-17	84	NA
2005-05-18	85	NA
2005-05-19	86	NA
2005-05-20	85	NA
2005-05-21	80	NA
2005-05-22	76	NA
2005-05-23	95	NA
2005-05-24	83	NA
2005-05-25	78	NA
2005-05-26	75	NA
2005-05-27	97	NA
2005-05-28	84	NA
2005-05-29	81	NA
2005-05-30	91	NA
2005-05-31	79	NA
2005-06-01	89	NA
2005-06-02	78	NA
2005-06-03	90	NA
2005-06-04	95	NA
2005-06-05	86	NA
2005-06-06	84	NA
2005-06-07	83	NA
2005-06-08	74	NA
2005-06-09	87	NA
2005-06-10	91	NA
2005-06-11	84	NA
2005-06-12	93	NA
2005-06-13	82	NA
2005-06-14	91	NA
2005-06-15	94	NA
2005-06-16	79	NA
2005-06-17	85	NA
2005-06-18	89	NA
2005-06-19	93	NA
2005-06-20	97	NA
2005-06-21	84	NA
2005-06-22	80	NA
2005-06-23	86	NA
2005-06-24	89	NA
2005-06-25	95	NA
2005-06-26	87	NA
2005-06-27	77	NA
2005-06-28	78	NA
2005-06-29	88	NA
2005-06-30	98	NA
2005-07-01	79	NA
2005-07-02	77	NA
2005-07-03	77	NA
2005-07-04	NA	NA
2005-07-05	76	NA
2005-07-06	82	NA
2005-07-07	84	NA
2005-07-08	84	NA
2005-07-09	80	NA
2005-07-10	76	NA
2005-07-11	88	NA
2005-07-12	87	NA
2005-07-13	76	NA
2005-07-14	78	NA
2005-07-15	85	NA
2005-07-16	82	NA
2005-07-17	90	NA
2005-07-18	85	NA
2005-07-19	92	NA
2005-07-20	94	NA
2005-07-21	84	NA
2005-07-22	90	NA
2005-07-23	95	NA
2005-07-24	93	NA
2005-07-25	84	NA
2005-07-26	89	NA
2005-07-27	88	NA
2005-07-28	87	NA
2005-07-29	86	NA
2005-07-30	86	NA
2005-07-31	90	NA
2005-08-01	85	NA
2005-08-02	86	NA
2005-08-03	84	NA
2005-08-04	85	NA
2005-08-05	87	NA
2005-08-06	79	NA
2005-08-07	96	NA
2005-08-08	86	NA
2005-08-09	NA	NA
2005-08-10	81	NA
2005-08-11	81	NA
2005-08-12	79	NA
2005-08-13	79	NA
2005-08-14	81	NA
2005-08-15	85	NA
2005-08-16	90	NA
2005-08-17	80	NA
2005-08-18	96	NA
2005-08-19	79	NA
2005-08-20	77	NA
2005-08-21	81	NA
2005-08-22	76	NA
2005-08-23	83	NA
2005-08-24	96	NA
2005-08-25	83	NA
2005-08-26	77	NA
2005-08-27	81	NA
2005-08-28	85	NA
2005-08-29	72	NA
2005-08-30	81	NA
2005-08-31	74	NA
2005-09-01	83	NA
2005-09-02	78	NA
2005-09-03	86	NA
2005-09-04	78	NA
2005-09-05	82	NA
2005-09-06	97	NA
2005-09-07	86	NA
2005-09-08	74	NA
2005-09-09	94	NA
2005-09-10	82	NA
2005-09-11	78	NA
2005-09-12	95	NA
2005-09-13	87	NA
2005-09-14	80	NA
2005-09-15	86	NA
2005-09-16	68	NA
2005-09-17	88	NA
2005-09-18	85	NA
2005-09-19	78	NA
2005-09-20	80	NA
2005-09-21	85	NA
2005-09-22	95	NA
2005-09-23	82	NA
2005-09-24	78	NA
2005-09-25	81	NA
2005-09-26	74	NA
2005-09-27	89	NA
2005-09-28	85	NA
2005-09-29	93	NA
2005-09-30	75	NA
2005-10-01	79	NA
2005-10-02	83	NA
2005-10-03	78	NA
2005-10-04	85	NA
2005-10-05	75	NA
2005-10-06	80	NA
2005-10-07	83	NA
2005-10-08	79	NA
2005-10-09	87	NA
2005-10-10	87	NA
2005-10-11	89	NA
2005-10-12	82	NA
2005-10-13	83	NA
2005-10-14	85	NA
2005-10-15	85	NA
2005-10-16	90	NA
2005-10-17	78	NA
2005-10-18	82	NA
2005-10-19	80	NA
2005-10-20	82	NA
2005-10-21	75	NA
2005-10-22	86	NA
2005-10-23	83	NA
2005-10-24	85	NA
2005-10-25	95	NA
2005-10-26	80	NA
2005-10-27	77	NA
2005-10-28	87	NA
2005-10-29	83	NA
2005-10-30	84	NA
2005-10-31	80	NA
2005-11-01	78	NA
2005-11-02	84	NA
2005-11-03	85	NA
2005-11-04	82	NA
2005-11-05	78	NA
2005-11-06	94	NA
2005-11-07	79	NA
2005-11-08	90	NA
2005-11-09	98	NA
2005-11-10	84	NA
2005-11-11	81	NA
2005-11-12	78	NA
2005-11-13	88	NA
2005-11-14	84	NA
2005-11-15	83	NA
2005-11-16	85	NA
2005-11-17	80	NA
2005-11-18	83	NA
2005-11-19	91	NA
2005-11-20	84	NA
2005-11-21	87	NA
2005-11-22	82	NA
2005-11-23	81	NA
2005-11-24	83	NA
2005-11-25	77	NA
2005-11-26	78	NA
2005-11-27	75	NA
2005-11-28	75	NA
2005-11-29	76	NA
2005-11-30	79	NA
2005-12-01	74	NA
2005-12-02	78	NA
2005-12-03	75	NA
2005-12-04	77	NA
2005-12-05	79	NA
2005-12-06	74	NA
2005-12-07	74	NA
2005-12-08	72	NA
2005-12-09	78	NA
2005-12-10	86	NA
2005-12-11	93	NA
2005-12-12	80	NA
2005-12-13	74	NA
2005-12-14	69	NA
2005-12-15	74	NA
2005-12-16	73	NA
2005-12-17	74	NA
2005-12-18	74	NA
2005-12-19	68	NA
2005-12-20	68	NA
2005-12-21	78	NA
2005-12-22	74	NA
2005-12-23	71	NA
2005-12-24	67	NA
2005-12-25	70	NA
2005-12-26	73	NA
2005-12-27	73	NA
2005-12-28	66	NA
2005-12-29	67	NA
2005-12-30	70	NA
2005-12-31	68	NA
2006-01-01	68	NA
2006-01-02	71	NA
2006-01-03	69	NA
2006-01-04	67	NA
2006-01-05	74	NA
2006-01-06	70	NA
2006-01-07	76	NA
2006-01-08	69	NA
2006-01-09	67	NA
2006-01-10	74	NA
2006-01-11	71	NA
2006-01-12	67	NA
2006-01-13	64	NA
2006-01-14	63	NA
2006-01-15	68	NA
2006-01-16	73	NA
2006-01-17	67	NA
2006-01-18	62	NA
2006-01-19	61	NA
2006-01-20	56	NA
2006-01-21	62	NA
2006-01-22	61	NA
2006-01-23	71	NA
2006-01-24	75	NA
2006-01-25	73	NA
2006-01-26	75	NA
2006-01-27	94	NA
2006-01-28	93	NA
2006-01-29	84	NA
2006-01-30	69	NA
2006-01-31	70	NA
2006-02-01	74	NA
2006-02-02	71	NA
2006-02-03	75	NA
2006-02-04	69	NA
2006-02-05	66	NA
2006-02-06	64	NA
2006-02-07	66	NA
2006-02-08	NA	NA
2006-02-09	67	NA
2006-02-10	68	NA
2006-02-11	65	NA
2006-02-12	64	NA
