"month","day","year","36015020","36025010","37050010","37055010"
"01","01","2005",NA,0,0,0
"01","02","2005",NA,0,0,0
"01","03","2005",NA,0,3,0
"01","04","2005",NA,0,0,0
"01","05","2005",NA,40,21,2.2
"01","06","2005",NA,10,0,0
"01","07","2005",NA,0,0,0
"01","08","2005",NA,15.5,0,0
"01","09","2005",NA,10.5,0,0
"01","10","2005",NA,0,0,0
"01","11","2005",NA,0,0,0.1
"01","12","2005",NA,0,0,0
"01","13","2005",NA,50.5,0,8
"01","14","2005",NA,51,5,2
"01","15","2005",NA,40.2,10,0.8
"01","16","2005",NA,25,1,0
"01","17","2005",NA,0,0,0
"01","18","2005",NA,0,0,0
"01","19","2005",NA,0,0,0
"01","20","2005",NA,0,0,0
"01","21","2005",NA,0,0,0
"01","22","2005",NA,0,0,0
"01","23","2005",NA,70.1,0,0
"01","24","2005",NA,0,9,0
"01","25","2005",NA,0,0,0
"01","26","2005",NA,0,0,0
"01","27","2005",NA,0,0,0
"01","28","2005",NA,0,0,0
"01","29","2005",NA,0,0,0
"01","30","2005",NA,0,0,0
"01","31","2005",NA,0,0,0
"02","01","2005",NA,0,0,0
"02","02","2005",NA,0,0,0
"02","03","2005",NA,0,0,0
"02","04","2005",NA,0,0,0
"02","05","2005",NA,0,0,0
"02","06","2005",NA,0,0,0
"02","07","2005",NA,25,0,0
"02","08","2005",NA,32.5,14,5.4
"02","09","2005",NA,10,0,2.2
"02","10","2005",NA,30,8,3.6
"02","11","2005",NA,21,6,0.1
"02","12","2005",NA,0,10,2.2
"02","13","2005",NA,0,0,0
"02","14","2005",NA,0,0,0
"02","15","2005",NA,0,0,0
"02","16","2005",NA,0,0,0
"02","17","2005",NA,0,0,0
"02","18","2005",NA,0,0,0
"02","19","2005",NA,0,0,0
"02","20","2005",NA,0,0,0
"02","21","2005",NA,0,0,0
"02","22","2005",NA,0,0,0
"02","23","2005",NA,0,0,0
"02","24","2005",NA,0,0,0
"02","25","2005",NA,0,0,0
"02","26","2005",NA,0,0,0
"02","27","2005",NA,0,0,0
"02","28","2005",NA,0,0,0
"03","01","2005",NA,0,0,0
"03","02","2005",NA,10.5,0,0
"03","03","2005",NA,0,0,0
"03","04","2005",NA,0,0,0
"03","05","2005",NA,0,0,0
"03","06","2005",NA,0,0,0
"03","07","2005",NA,0,0,0
"03","08","2005",NA,0,0,0
"03","09","2005",NA,0,0,0
"03","10","2005",NA,0,0,0
"03","11","2005",NA,0,0,0
"03","12","2005",NA,0,0,0
"03","13","2005",NA,0,0,0
"03","14","2005",NA,0,0,0
"03","15","2005",NA,0,0,0
"03","16","2005",NA,0,0,0
"03","17","2005",NA,0,0,0
"03","18","2005",NA,0,0,0
"03","19","2005",NA,0,0,0
"03","20","2005",NA,0,0,0
"03","21","2005",NA,0,0,0
"03","22","2005",NA,0,0,0
"03","23","2005",NA,20,0,2.2
"03","24","2005",NA,0,0,0
"03","25","2005",NA,0,0,0
"03","26","2005",NA,0,0,0
"03","27","2005",NA,0,0,0
"03","28","2005",NA,0,0,0
"03","29","2005",NA,0,0,0
"03","30","2005",NA,0,0,0
"03","31","2005",NA,0,0,0
"04","01","2005",NA,NA,0,0
"04","02","2005",NA,NA,0,34.2
"04","03","2005",NA,NA,36,0
"04","04","2005",NA,NA,3,2.8
"04","05","2005",NA,NA,8,2.8
"04","06","2005",NA,NA,3,10.6
"04","07","2005",NA,NA,0,0
"04","08","2005",NA,NA,0,19
"04","09","2005",NA,NA,13,0
"04","10","2005",NA,NA,3,16.1
"04","11","2005",NA,NA,0,0.2
"04","12","2005",NA,NA,3,22
"04","13","2005",NA,NA,2,1.1
"04","14","2005",NA,NA,9,30.4
"04","15","2005",NA,NA,0,0
"04","16","2005",NA,NA,0,0
"04","17","2005",NA,NA,0,0
"04","18","2005",NA,NA,0,0
"04","19","2005",NA,NA,4,1
"04","20","2005",NA,NA,7,3.7
"04","21","2005",NA,NA,0,0.2
"04","22","2005",NA,NA,40,17.8
"04","23","2005",NA,NA,27,0
"04","24","2005",NA,NA,0,0
"04","25","2005",NA,NA,2,0
"04","26","2005",NA,NA,5,0
"04","27","2005",NA,NA,12,8.8
"04","28","2005",NA,NA,0,0
"04","29","2005",NA,NA,14,3.4
"04","30","2005",NA,NA,0,0.1
"05","01","2005",NA,NA,14,23.2
"05","02","2005",NA,NA,0,2.4
"05","03","2005",NA,NA,12,30.7
"05","04","2005",NA,NA,0,4.5
"05","05","2005",NA,NA,11,2.2
"05","06","2005",NA,NA,0,23.7
"05","07","2005",NA,NA,0,0
"05","08","2005",NA,NA,0,0.2
"05","09","2005",NA,NA,11,7.8
"05","10","2005",NA,NA,7,0.4
"05","11","2005",NA,NA,0,0.8
"05","12","2005",NA,NA,8,0
"05","13","2005",NA,NA,10,31
"05","14","2005",NA,NA,0,0.1
"05","15","2005",NA,NA,2,0
"05","16","2005",NA,NA,9,7.8
"05","17","2005",NA,NA,0,0
"05","18","2005",NA,NA,30,26.2
"05","19","2005",NA,NA,0,0
"05","20","2005",NA,NA,0,0
"05","21","2005",NA,NA,0,0
"05","22","2005",NA,NA,0,0
"05","23","2005",NA,NA,0,2.1
"05","24","2005",NA,NA,0,0
"05","25","2005",NA,NA,0,0
"05","26","2005",NA,NA,9,0
"05","27","2005",NA,NA,77,18.9
"05","28","2005",NA,NA,7,0.5
"05","29","2005",NA,NA,0,0
"05","30","2005",NA,NA,30,28.7
"05","31","2005",NA,NA,52,21.6
"06","01","2005",NA,20,0,6
"06","02","2005",NA,0,2,0.5
"06","03","2005",NA,11,4,4.7
"06","04","2005",NA,50,16,26.4
"06","05","2005",NA,0,0,0
"06","06","2005",NA,20,2,6.7
"06","07","2005",NA,0,0,0
"06","08","2005",NA,10,30,37.5
"06","09","2005",NA,0,2,4.8
"06","10","2005",NA,0,1,8.1
"06","11","2005",NA,0,1,0.3
"06","12","2005",NA,0,4,0.3
"06","13","2005",NA,0,0,0
"06","14","2005",NA,0,0,4.7
"06","15","2005",NA,50,0,0.7
"06","16","2005",NA,58.5,25,1.2
"06","17","2005",NA,10,3,0.8
"06","18","2005",NA,27,47,2
"06","19","2005",NA,18,29,3.3
"06","20","2005",NA,10,26,47.7
"06","21","2005",NA,10,0,8.3
"06","22","2005",NA,NA,0,0
"06","23","2005",NA,NA,1,5.3
"06","24","2005",NA,0,3,15.1
"06","25","2005",NA,0,16,9.3
"06","26","2005",NA,0,14,23.6
"06","27","2005",NA,0,0,0
"06","28","2005",NA,0,0,3.4
"06","29","2005",NA,35.5,62,23.7
"06","30","2005",NA,35.5,26,40.2
"07","01","2005",NA,NA,0,0
"07","02","2005",NA,NA,0,0
"07","03","2005",NA,NA,0,0
"07","04","2005",NA,NA,0,0
"07","05","2005",NA,NA,6,0
"07","06","2005",NA,NA,26,0
"07","07","2005",NA,NA,0,0
"07","08","2005",NA,NA,0,8.1
"07","09","2005",NA,NA,0,0
"07","10","2005",NA,NA,0,0
"07","11","2005",NA,NA,0,0.4
"07","12","2005",NA,NA,0,0.4
"07","13","2005",NA,NA,0,0
"07","14","2005",NA,NA,0,0
"07","15","2005",NA,NA,0,2.5
"07","16","2005",NA,NA,0,0.4
"07","17","2005",NA,NA,0,4.1
"07","18","2005",NA,NA,39,36.5
"07","19","2005",NA,NA,15,15.1
"07","20","2005",NA,NA,0,1.7
"07","21","2005",NA,NA,0,0.6
"07","22","2005",NA,NA,17,60.1
"07","23","2005",NA,NA,19,29.9
"07","24","2005",NA,NA,0,0
"07","25","2005",NA,NA,45,0
"07","26","2005",NA,NA,0,25.1
"07","27","2005",NA,NA,1,2.1
"07","28","2005",NA,NA,1,4.1
"07","29","2005",NA,NA,0,0.6
"07","30","2005",NA,NA,0,3.5
"07","31","2005",NA,NA,2,8.9
"08","01","2005",NA,0,0,0.1
"08","02","2005",NA,59.5,1,6.8
"08","03","2005",NA,2.5,0,1.5
"08","04","2005",NA,0,57,6.5
