"month","day","year","36015020","36025010","37055010"
"01","01","2005",NA,76,72
"01","02","2005",NA,79,78
"01","03","2005",NA,75,73
"01","04","2005",NA,72,70
"01","05","2005",NA,75,85
"01","06","2005",NA,70,80
"01","07","2005",NA,62,82
"01","08","2005",NA,83,80
"01","09","2005",NA,88,79
"01","10","2005",NA,78,75
"01","11","2005",NA,80,73
"01","12","2005",NA,76,NA
"01","13","2005",NA,78,85
"01","14","2005",NA,75,73
"01","15","2005",NA,91,88
"01","16","2005",NA,85,84
"01","17","2005",NA,76,78
"01","18","2005",NA,73,73
"01","19","2005",NA,77,69
"01","20","2005",NA,80,66
"01","21","2005",NA,69,63
"01","22","2005",NA,75,70
"01","23","2005",NA,73,71
"01","24","2005",NA,82,67
"01","25","2005",NA,76,61
"01","26","2005",NA,71,67
"01","27","2005",NA,69,65
"01","28","2005",NA,67,68
"01","29","2005",NA,76,63
"01","30","2005",NA,78,63
"01","31","2005",NA,72,69
"02","01","2005",NA,76,63
"02","02","2005",NA,64,58
"02","03","2005",NA,73,69
"02","04","2005",NA,77,64
"02","05","2005",NA,81,76
"02","06","2005",NA,85,69
"02","07","2005",NA,78,72
"02","08","2005",NA,86,81
"02","09","2005",NA,90,88
"02","10","2005",NA,97,91
"02","11","2005",NA,86,80
"02","12","2005",NA,80,83
"02","13","2005",NA,77,66
"02","14","2005",NA,78,69
"02","15","2005",NA,85,64
"02","16","2005",NA,89,70
"02","17","2005",NA,80,69
"02","18","2005",NA,76,64
"02","19","2005",NA,77,68
"02","20","2005",NA,80,66
"02","21","2005",NA,75,70
"02","22","2005",NA,77,69
"02","23","2005",NA,70,66
"02","24","2005",NA,73,68
"02","25","2005",NA,66,70
"02","26","2005",NA,62,68
"02","27","2005",NA,84,65
"02","28","2005",NA,78,64
"03","01","2005",NA,71,62
"03","02","2005",NA,74,64
"03","03","2005",NA,76,66
"03","04","2005",NA,82,69
"03","05","2005",NA,71,66
"03","06","2005",NA,NA,62
"03","07","2005",NA,77,65
"03","08","2005",NA,79,62
"03","09","2005",NA,88,62
"03","10","2005",NA,85,54
"03","11","2005",NA,86,55
"03","12","2005",NA,73,59
"03","13","2005",NA,74,59
"03","14","2005",NA,63,50
"03","15","2005",NA,71,49
"03","16","2005",NA,75,54
"03","17","2005",NA,81,56
"03","18","2005",NA,70,54
"03","19","2005",NA,72,57
"03","20","2005",NA,63,61
"03","21","2005",NA,64,55
"03","22","2005",NA,62,52
"03","23","2005",NA,70,57
"03","24","2005",NA,81,65
"03","25","2005",NA,74,59
"03","26","2005",NA,68,52
"03","27","2005",NA,67,57
"03","28","2005",NA,75,52
"03","29","2005",NA,76,54
"03","30","2005",NA,73,56
"03","31","2005",NA,66,58
"04","01","2005",NA,79,57
"04","02","2005",NA,70,63
"04","03","2005",NA,94,84
"04","04","2005",NA,78,78
"04","05","2005",NA,85,69
"04","06","2005",NA,82,84
"04","07","2005",NA,87,67
