"month","day","year","36015020","36025010"
"01","01","2005",NA,NA
"01","02","2005",NA,NA
"01","03","2005",NA,NA
"01","04","2005",NA,NA
"01","05","2005",NA,NA
"01","06","2005",NA,NA
"01","07","2005",NA,NA
"01","08","2005",NA,NA
"01","09","2005",NA,NA
"01","10","2005",NA,NA
"01","11","2005",NA,NA
"01","12","2005",NA,NA
"01","13","2005",NA,NA
"01","14","2005",NA,NA
"01","15","2005",NA,NA
"01","16","2005",NA,NA
"01","17","2005",NA,NA
"01","18","2005",NA,NA
"01","19","2005",NA,NA
"01","20","2005",NA,NA
"01","21","2005",NA,NA
"01","22","2005",NA,NA
"01","23","2005",NA,NA
"01","24","2005",NA,NA
"01","25","2005",NA,NA
"01","26","2005",NA,NA
"01","27","2005",NA,NA
"01","28","2005",NA,NA
"01","29","2005",NA,NA
"01","30","2005",NA,NA
"01","31","2005",NA,NA
"02","01","2005",NA,NA
"02","02","2005",NA,NA
"02","03","2005",NA,NA
"02","04","2005",NA,NA
"02","05","2005",NA,NA
"02","06","2005",NA,NA
"02","07","2005",NA,NA
"02","08","2005",NA,NA
"02","09","2005",NA,NA
"02","10","2005",NA,NA
"02","11","2005",NA,NA
"02","12","2005",NA,NA
"02","13","2005",NA,NA
"02","14","2005",NA,NA
"02","15","2005",NA,NA
"02","16","2005",NA,NA
"02","17","2005",NA,NA
"02","18","2005",NA,NA
"02","19","2005",NA,NA
"02","20","2005",NA,NA
"02","21","2005",NA,NA
"02","22","2005",NA,NA
"02","23","2005",NA,NA
"02","24","2005",NA,NA
"02","25","2005",NA,NA
"02","26","2005",NA,NA
"02","27","2005",NA,NA
"02","28","2005",NA,NA
"03","01","2005",NA,NA
"03","02","2005",NA,NA
"03","03","2005",NA,NA
"03","04","2005",NA,NA
"03","05","2005",NA,NA
"03","06","2005",NA,NA
"03","07","2005",NA,NA
"03","08","2005",NA,NA
"03","09","2005",NA,NA
"03","10","2005",NA,NA
"03","11","2005",NA,NA
"03","12","2005",NA,NA
"03","13","2005",NA,NA
"03","14","2005",NA,NA
"03","15","2005",NA,NA
"03","16","2005",NA,NA
"03","17","2005",NA,NA
"03","18","2005",NA,NA
"03","19","2005",NA,NA
"03","20","2005",NA,NA
"03","21","2005",NA,NA
"03","22","2005",NA,NA
"03","23","2005",NA,NA
"03","24","2005",NA,NA
"03","25","2005",NA,NA
"03","26","2005",NA,NA
"03","27","2005",NA,NA
"03","28","2005",NA,NA
"03","29","2005",NA,NA
"03","30","2005",NA,NA
"03","31","2005",NA,NA
"04","01","2005",NA,NA
"04","02","2005",NA,NA
"04","03","2005",NA,NA
"04","04","2005",NA,NA
"04","05","2005",NA,NA
"04","06","2005",NA,NA
"04","07","2005",NA,NA
"04","08","2005",NA,NA
"04","09","2005",NA,NA
"04","10","2005",NA,NA
"04","11","2005",NA,NA
"04","12","2005",NA,NA
"04","13","2005",NA,NA
"04","14","2005",NA,NA
"04","15","2005",NA,NA
"04","16","2005",NA,NA
"04","17","2005",NA,NA
"04","18","2005",NA,NA
"04","19","2005",NA,NA
"04","20","2005",NA,NA
"04","21","2005",NA,24
"04","22","2005",NA,NA
"04","23","2005",NA,NA
"04","24","2005",NA,22
"04","25","2005",NA,NA
"04","26","2005",NA,23
"04","27","2005",NA,NA
"04","28","2005",NA,23
"04","29","2005",NA,25
"04","30","2005",NA,23.2
"05","01","2005",NA,22
"05","02","2005",NA,NA
"05","03","2005",NA,22
"05","04","2005",NA,24
"05","05","2005",NA,NA
"05","06","2005",NA,24.2
"05","07","2005",NA,NA
"05","08","2005",NA,22.1
"05","09","2005",NA,23
"05","10","2005",NA,NA
"05","11","2005",NA,23
"05","12","2005",NA,24.2
"05","13","2005",NA,23
"05","14","2005",NA,21.3
"05","15","2005",NA,22.3
"05","16","2005",NA,22
"05","17","2005",NA,22
"05","18","2005",NA,23
"05","19","2005",NA,23.2
"05","20","2005",NA,23
"05","21","2005",NA,23
"05","22","2005",NA,22.1
"05","23","2005",NA,24
"05","24","2005",NA,23
"05","25","2005",NA,23
"05","26","2005",NA,23.2
"05","27","2005",NA,21
"05","28","2005",NA,23
"05","29","2005",NA,21.1
"05","30","2005",NA,NA
"05","31","2005",NA,NA
"06","01","2005",NA,20.3
"06","02","2005",NA,20
"06","03","2005",NA,21
"06","04","2005",NA,21
"06","05","2005",NA,22
"06","06","2005",NA,20
"06","07","2005",NA,23.2
"06","08","2005",NA,23.3
"06","09","2005",NA,24
"06","10","2005",NA,NA
"06","11","2005",NA,NA
"06","12","2005",NA,NA
"06","13","2005",NA,NA
"06","14","2005",NA,NA
"06","15","2005",NA,24.4
"06","16","2005",NA,NA
"06","17","2005",NA,NA
"06","18","2005",NA,NA
"06","19","2005",NA,NA
"06","20","2005",NA,24
"06","21","2005",NA,24
"06","22","2005",NA,24.3
"06","23","2005",NA,NA
"06","24","2005",NA,NA
"06","25","2005",NA,23.4
"06","26","2005",NA,22.4
"06","27","2005",NA,21.2
"06","28","2005",NA,22.2
"06","29","2005",NA,23.2
"06","30","2005",NA,22.2
"07","01","2005",NA,22
"07","02","2005",NA,25
"07","03","2005",NA,NA
"07","04","2005",NA,NA
"07","05","2005",NA,24.6
"07","06","2005",NA,24
"07","07","2005",NA,22.8
"07","08","2005",NA,22.8
"07","09","2005",NA,23.2
"07","10","2005",NA,23
"07","11","2005",NA,23.4
"07","12","2005",NA,22.8
"07","13","2005",NA,23.2
"07","14","2005",NA,25
"07","15","2005",NA,23.6
"07","16","2005",NA,NA
"07","17","2005",NA,25.4
"07","18","2005",NA,NA
"07","19","2005",NA,22.6
"07","20","2005",NA,20.8
"07","21","2005",NA,NA
"07","22","2005",NA,24.2
"07","23","2005",NA,23.4
"07","24","2005",NA,NA
"07","25","2005",NA,24.2
"07","26","2005",NA,24.2
"07","27","2005",NA,24.6
"07","28","2005",NA,NA
"07","29","2005",NA,NA
"07","30","2005",NA,23.2
"07","31","2005",NA,25
"08","01","2005",NA,24.2
"08","02","2005",NA,24
"08","03","2005",NA,23.4
"08","04","2005",NA,24.6
"08","05","2005",NA,NA
"08","06","2005",NA,23
"08","07","2005",NA,22
"08","08","2005",NA,NA
"08","09","2005",NA,24.8
"08","10","2005",NA,23.6
"08","11","2005",NA,NA
"08","12","2005",NA,23
"08","13","2005",NA,25.2
"08","14","2005",NA,25
"08","15","2005",NA,21.4
"08","16","2005",NA,23
"08","17","2005",NA,20.4
"08","18","2005",NA,20.4
"08","19","2005",NA,NA
"08","20","2005",NA,23.2
"08","21","2005",NA,22.8
"08","22","2005",NA,24.2
"08","23","2005",NA,24.6
"08","24","2005",NA,24
"08","25","2005",NA,23.8
"08","26","2005",NA,24.8
"08","27","2005",NA,23.4
"08","28","2005",NA,22.2
"08","29","2005",NA,25
"08","30","2005",NA,25.8
"08","31","2005",NA,24
"09","01","2005",NA,NA
"09","02","2005",NA,NA
"09","03","2005",NA,NA
"09","04","2005",NA,23
"09","05","2005",NA,NA
"09","06","2005",NA,23
"09","07","2005",NA,NA
"09","08","2005",NA,NA
"09","09","2005",NA,20
"09","10","2005",NA,NA
"09","11","2005",NA,22.4
"09","12","2005",NA,23.2
"09","13","2005",NA,23
"09","14","2005",NA,NA
"09","15","2005",NA,22.6
"09","16","2005",NA,22.4
"09","17","2005",NA,NA
"09","18","2005",NA,23.2
"09","19","2005",NA,NA
"09","20","2005",NA,24
"09","21","2005",NA,NA
"09","22","2005",NA,NA
