Date	Value
20051014	NA
20051015	90.2916666666667
20051016	109.291666666667
20051017	81.875
20051018	91.875
20051019	NA
20051020	NA
20051021	NA
20051022	NA
20051023	NA
20051024	NA
20051025	NA
20051026	NA
20051027	NA
20051028	-26.0833333333333
20051029	-26.5416666666667
20051030	NA
20051031	-26.1666666666667
20051101	NA
20051102	NA
20051103	NA
20051104	103.166666666667
20051105	106.416666666667
20051106	95.5
20051107	113.625
20051108	NA
20051109	NA
20051119	NA
20051120	218.166666666667
20051121	159.5
20051122	241.958333333333
20051123	210.791666666667
20051124	129.25
20051125	NA
20051126	NA
20051127	257.083333333333
20051128	257.708333333333
20051129	223.958333333333
20051130	NA
20051201	254.458333333333
20051202	244.208333333333
20051203	241.791666666667
20051204	208.166666666667
20051205	241.708333333333
20051206	231.125
20051207	237.166666666667
20051208	212.666666666667
20051209	250.416666666667
20051210	174.916666666667
20051211	78.1666666666667
20051212	214.583333333333
20051213	235.75
20051214	230.708333333333
20051215	NA
20051216	NA
20051217	NA
20051218	242.041666666667
20051219	204.75
20051220	NA
20051221	236.541666666667
20051222	201.041666666667
20051223	235.5
20051224	250.416666666667
20051225	247.5
20051226	NA
20051227	224.5
20051228	NA
20051229	NA
20051230	250.583333333333
20051231	NA
20060101	254.958333333333
20060102	NA
20060103	205.625
20060104	229.541666666667
20060105	201.083333333333
20060106	NA
20060107	195
20060108	235.666666666667
20060109	242.875
20060110	231.166666666667
20060111	NA
20060112	252.583333333333
20060113	248.916666666667
20060114	236.375
20060115	239.791666666667
20060116	226.833333333333
20060117	NA
20060118	NA
20060119	NA
20060120	245.583333333333
20060121	231.791666666667
20060122	217.75
20060123	223.708333333333
20060124	228.041666666667
20060125	192.5
20060126	196.541666666667
20060127	134.25
20060128	145.916666666667
20060129	122.791666666667
20060130	NA
20060131	242.625
20060201	226
20060202	NA
20060203	213.625
20060204	NA
20060205	219.458333333333
20060206	NA
20060207	NA
20060210	NA
20060211	243.125
20060212	218.083333333333
20060213	256.5
20060214	275.333333333333
20060215	255.25
20060216	270.625
20060217	278.208333333333
20060218	168.916666666667
20060219	199
20060220	249.5
20060221	NA
20060222	221.625
20060223	244.416666666667
20060224	261.875
20060225	265.25
20060226	251.083333333333
20060227	NA
20060228	271.5
20060301	262.791666666667
20060302	NA
20060303	256.333333333333
20060304	245.708333333333
20060305	198.25
20060306	144.708333333333
20060307	139.791666666667
20060308	NA
20060309	104.541666666667
20060310	NA
20060311	234.083333333333
20060312	268.916666666667
20060313	289.791666666667
20060314	243.5
20060315	272.166666666667
20060316	238
20060317	192.458333333333
20060318	246.208333333333
20060319	254.625
20060320	126.625
20060321	NA
20060322	NA
20060323	174.875
20060324	228.375
20060325	170.833333333333
20060326	100.166666666667
20060327	119.375
20060328	NA
20060329	267.208333333333
20060330	285
20060331	259.666666666667
20060401	NA
20060402	NA
20060403	NA
20060404	NA
20060405	NA
20060406	NA
20060407	NA
20060408	NA
20060409	NA
20060410	264
20060411	NA
20060412	229.125
20060413	79.5833333333333
20060414	136
20060415	157.666666666667
20060416	NA
20060417	119.083333333333
20060418	294.25
20060419	NA
20060420	NA
20060421	224.625
20060422	248.666666666667
20060423	121.916666666667
20060424	197
20060425	240.708333333333
20060426	110.875
20060427	NA
20060428	211.708333333333
20060429	155.291666666667
20060430	206.333333333333
20060501	259.125
20060502	253
20060503	121.083333333333
20060504	228.791666666667
20060505	130.625
20060506	108.291666666667
20060507	204.791666666667
20060508	219.958333333333
20060509	229.791666666667
20060510	249.875
20060511	224.791666666667
20060512	265.125
20060513	267.041666666667
20060514	221.875
20060515	205.541666666667
20060516	NA
20060517	NA
20060518	NA
20060519	107.208333333333
20060520	NA
20060521	NA
20060522	NA
20060523	NA
20060524	NA
20060525	256
20060526	168.5
20060527	181.583333333333
20060528	213.75
20060529	114.333333333333
20060530	289.083333333333
20060531	195.291666666667
20060601	142.75
20060602	229.458333333333
20060603	NA
20060604	248.083333333333
20060605	183.458333333333
20060606	228.916666666667
20060607	151
20060608	70.7916666666667
20060609	161.541666666667
20060610	233.875
20060611	173.458333333333
20060612	NA
20060613	NA
20060614	104.541666666667
20060615	NA
20060616	273.875
20060617	259.166666666667
20060618	215.708333333333
20060619	215.25
20060620	249.666666666667
20060621	169.541666666667
20060622	168.375
20060623	280.791666666667
20060624	229.958333333333
20060625	151.75
20060626	162.125
20060627	208.541666666667
20060628	176
20060629	246.625
20060630	263.666666666667
20060701	249.583333333333
20060702	248.458333333333
20060703	139.291666666667
20060704	150.791666666667
20060705	NA
20060706	132.75
20060707	166.375
20060708	NA
20060709	222.958333333333
20060710	106.375
20060711	253.458333333333
20060712	NA
20060713	NA
20060714	NA
20060715	NA
20060716	NA
20060717	NA
20060718	197.541666666667
20060719	NA
20060720	NA
20060721	NA
20060722	165.708333333333
20060723	236.041666666667
20060724	138.708333333333
20060725	165.916666666667
20060726	257.666666666667
20060727	NA
20060728	72.6666666666667
20060729	184.208333333333
20060730	NA
20060731	212.75
20060801	173.458333333333
20060802	291.541666666667
20060803	NA
20060804	NA
20060805	282.333333333333
20060806	NA
20060807	NA
20060808	NA
20060809	215.75
20060810	196.791666666667
20060811	NA
20060812	141.541666666667
20060813	298.666666666667
20060814	250.125
20060815	263.75
20060816	138.5
20060817	NA
20060818	226.458333333333
20060819	180.583333333333
20060820	NA
20060821	235.458333333333
20060822	208.583333333333
20060823	254.958333333333
20060824	162.375
20060825	242.375
20060826	236.25
20060827	253.208333333333
20060828	199.375
20060829	180.875
20060830	174
20060831	239.916666666667
20060901	NA
20060902	284.5
20060903	283
20060904	207.458333333333
20060905	271.791666666667
20060906	262.208333333333
20060907	257.833333333333
20060908	198.25
20060909	264.208333333333
20060910	NA
20060911	143.416666666667
20060912	209.458333333333
20060913	260.958333333333
20060914	NA
20060915	292.583333333333
20060916	NA
20060917	NA
20060918	137.833333333333
20060919	NA
20060920	284.375
20060921	298.166666666667
20060922	NA
20060923	NA
20060924	208.958333333333
20060925	243.458333333333
20060926	NA
20060927	NA
20060928	284.875
20060929	NA
20060930	NA
20061001	NA
20061002	NA
20061003	240.916666666667
20061004	261.791666666667
20061005	NA
20061006	232.583333333333
20061007	NA
20061008	227.375
20061009	134.25
20061010	NA
20061011	NA
20061012	NA
20061013	NA
20061014	NA
20061015	219.458333333333
20061016	NA
20061017	NA
20061018	247
20061019	193.916666666667
20061020	184.625
20061021	NA
20061022	257.375
20061023	NA
20061024	NA
20061025	NA
20061026	176.208333333333
20061027	NA
20061028	252.5
20061029	239.041666666667
20061030	NA
20061031	268.875
20061101	265.416666666667
20061102	NA
20061103	276.541666666667
20061104	NA
20061105	NA
20061106	NA
20061107	240.5
20061108	197.666666666667
20061109	NA
20061110	NA
20061111	NA
20061112	NA
20061113	NA
20061114	209.791666666667
20061115	NA
20061116	245.416666666667
20061117	108.333333333333
20061118	NA
20061119	NA
20061122	NA
20061123	248.125
20061124	246.875
20061125	NA
20061126	NA
20061127	NA
20061128	NA
20061129	NA
20061130	NA
20061201	253.791666666667
20061202	NA
20061203	254.458333333333
20061204	210.916666666667
20061205	246.083333333333
20061206	NA
20061207	NA
20061209	NA
20061210	228.25
20061211	205.833333333333
20061212	164.375
20061213	NA
20061214	NA
20061215	NA
20061216	NA
20061217	NA
20061218	229.833333333333
20061219	NA
20061220	NA
20061221	NA
20061222	170.375
20061223	164.375
20061224	207.791666666667
20061225	219.541666666667
20061226	183.875
20061227	225.666666666667
20061228	231.5
20061229	217.541666666667
20061230	245.791666666667
20061231	225.166666666667
20070101	228.75
20070102	248.416666666667
20070103	NA
20070104	241.208333333333
20070105	NA
20070106	NA
20070107	251.416666666667
20070108	NA
20070109	NA
20070110	204.75
20070111	220.875
20070112	224.791666666667
20070113	200.625
20070114	242.583333333333
20070115	216.791666666667
20070116	NA
20070117	220.875
20070118	219.958333333333
20070119	216.208333333333
20070120	NA
20070121	NA
20070122	192.875
20070123	250.458333333333
20070124	242.541666666667
20070125	227.75
20070126	231.708333333333
20070127	227.583333333333
20070128	247.166666666667
20070129	258.958333333333
20070130	254.75
20070131	262.958333333333
20070201	270.333333333333
20070202	273.791666666667
20070203	265.458333333333
20070204	258.833333333333
20070205	266.333333333333
20070206	NA
20070207	275.958333333333
20070208	NA
20070209	264.791666666667
20070210	260.916666666667
20070211	262
20070212	259.75
20070213	244.75
20070214	252.583333333333
20070215	268.458333333333
20070216	274.041666666667
20070217	269.041666666667
20070218	265.416666666667
20070219	277.416666666667
20070220	NA
20070221	277.208333333333
20070222	276.75
20070223	NA
20070224	231.458333333333
20070225	121.833333333333
20070226	242.041666666667
20070227	266.333333333333
20070228	275.708333333333
20070301	272.875
20070302	NA
20070303	244.666666666667
20070304	204.5
20070305	254.458333333333
20070306	219.583333333333
20070307	227.541666666667
20070308	207.166666666667
20070309	NA
20070310	NA
20070311	271.833333333333
20070312	267
20070313	NA
20070314	NA
20070315	NA
20070316	249.166666666667
20070317	NA
20070318	NA
20070320	NA
20070321	246.166666666667
20070322	NA
20070323	NA
20070324	196.125
20070325	94.625
20070326	NA
20070327	230.5
20070328	216.208333333333
20070329	NA
20070330	NA
20070331	194.041666666667
20070401	252.791666666667
20070402	128.208333333333
20070403	151.375
20070404	NA
20070405	NA
20070406	NA
20070407	NA
20080315	NA
20080316	NA
20080317	243.708333333333
20080318	242.916666666667
20080319	252.25
20080320	255.125
20080321	260.708333333333
20080322	240.875
20080323	269.541666666667
20080324	270.5
20080325	NA
20080326	259.541666666667
20080327	258.75
20080328	257.041666666667
20080329	258.791666666667
20080330	253.833333333333
20080331	NA
20080401	238.458333333333
20080402	224.958333333333
20080403	NA
20080404	NA
20080405	158.291666666667
20080406	222.416666666667
20080407	243.625
20080408	280.416666666667
20080409	236.375
20080410	226.208333333333
20080411	187.666666666667
20080412	174.166666666667
20080413	228.291666666667
20080414	168.625
20080415	245.5
20080416	273.208333333333
20080417	208.041666666667
20080418	60.5833333333333
20080419	NA
20080420	NA
20080421	227
20080422	NA
20080423	194.333333333333
20080424	248.333333333333
20080425	NA
20080426	NA
20080427	NA
20080428	NA
20080429	NA
20080430	NA
20080501	226.75
20080502	175.833333333333
20080503	126.083333333333
20080504	198.958333333333
20080505	162.75
20080506	235.208333333333
20080507	NA
20080508	NA
20080509	NA
20080510	NA
20080511	231.25
20080512	134.333333333333
20080513	NA
20080514	NA
20080515	NA
20080516	NA
20080517	175.625
20080518	185.375
20080519	NA
20080520	NA
20080521	150.458333333333
20080522	NA
20080523	240.041666666667
20080524	NA
20080525	NA
20080526	NA
20080527	NA
20080528	NA
20080529	NA
20080530	NA
20080531	237.416666666667
20080601	NA
20080602	192.375
20080603	252.291666666667
20080604	250.916666666667
20080605	199.208333333333
20080606	NA
20080607	NA
20080608	NA
20080609	NA
20080610	NA
20080611	NA
20080612	NA
20080613	NA
20080614	209
20080615	174
20080616	NA
20080617	NA
20080618	NA
20080619	NA
20080620	NA
20080621	NA
20080622	NA
20080623	NA
20080624	NA
20080625	NA
20080626	NA
20080627	NA
20080628	NA
20080629	NA
20080630	NA
20080701	NA
20080702	NA
20080703	NA
20080704	NA
20080705	NA
20080706	NA
20080707	NA
20080708	NA
20080709	NA
20080710	NA
20080711	NA
20080712	NA
20080713	NA
20080714	NA
20080715	NA
20080716	NA
20080717	NA
20080718	NA
20080719	NA
20080720	NA
20080721	NA
20080722	NA
20080723	NA
20080724	NA
20080725	190.083333333333
20080726	NA
20080727	NA
20080728	NA
20080729	NA
20080730	NA
20080731	NA
20080801	NA
20080802	NA
20080803	NA
20080826	NA
20080827	NA
20080828	NA
20080829	NA
20080830	NA
20080831	NA
20080901	NA
20080902	293.166666666667
20080903	237
20080904	154.625
20080905	NA
20080906	NA
20080907	142.666666666667
20080908	151.583333333333
20080909	162.833333333333
20080910	281.833333333333
20080911	NA
20080912	301.25
20080913	274.166666666667
20080914	245.25
20080915	125.166666666667
20080916	222.916666666667
20080917	206.416666666667
20080918	NA
20080919	NA
20080920	NA
20080921	275.666666666667
20080922	97.375
20080923	NA
20080924	221.625
20080925	131.75
20080926	NA
20080927	277.625
20080928	216.458333333333
20080929	261.375
20080930	NA
20081001	222.375
20081002	269.791666666667
20081003	NA
20081004	260.625
20081005	154.125
20081006	241.708333333333
20081007	107.875
20081008	245.291666666667
20081009	262.75
20081010	158.75
20081011	182.708333333333
20081012	246.333333333333
20081013	261.083333333333
20081014	NA
20081015	NA
20081016	261.75
20081017	196.541666666667
20081018	253.541666666667
20081019	268.583333333333
20081020	NA
20081021	NA
20081022	238.083333333333
20081023	258.625
20081024	266.375
20081025	249.75
20081026	240.333333333333
20081027	236.5
20081028	155.666666666667
20081029	261.625
20081030	NA
20081031	202.833333333333
20081101	173.958333333333
20081102	152.458333333333
20081103	202.916666666667
20081104	111.083333333333
20081105	208.375
20081106	237.458333333333
20081107	253.416666666667
20081108	259.125
20081109	247.875
20081110	258.375
20081111	253
20081112	240.291666666667
20081113	163.458333333333
20081114	200.625
20081115	NA
20081116	183.583333333333
20081117	230.041666666667
20081118	145.375
20081119	128.5
20081120	156.166666666667
20081121	126.75
20081122	111.833333333333
20081123	120.25
20081124	115.166666666667
20081125	NA
20081126	59.2083333333333
20081127	183.291666666667
20081128	220.375
20081129	230.958333333333
20081130	238.75
20081201	243.791666666667
20081202	NA
20081203	207.5
20081204	207.25
20081205	NA
20081206	NA
20081207	NA
20081208	NA
20081209	NA
20081210	NA
20081211	NA
20081212	201.166666666667
20081213	NA
20081214	NA
