Date	Value
19861001	145
19861002	111
19861003	212
19861004	205
19861005	101
19861006	151
19861007	246
19861008	224
19861009	321
19861010	272
19861011	233
19861012	189
19861013	170
19861014	142
19861015	164
19861016	179
19861017	202
19861018	242
19861019	223
19861020	151
19861021	141
19861022	127
19861023	139
19861024	159
19861025	129
19861026	81
19861027	120
19861028	142
19861029	172
19861030	278
19861031	223
19861101	209
19861102	164
19861103	146
19861104	196
19861105	172
19861106	314
19861107	120
19861108	NA
19861109	306
19861110	209
19861111	184
19861112	121
19861113	89
19861114	115
19861115	157
19861116	279
19861117	231
19861118	290
19861119	194
19861120	241
19861121	281
19861122	322
19861123	128
19861124	265
19861125	211
19861126	287
19861127	251
19861128	200
19861129	262
19861130	217
19861201	283
19861202	326
19861203	252
19861204	175
19861205	211
19861206	266
19861207	244
19861208	226
19861209	288
19861210	247
19861211	375
19861212	308
19861213	264
19861214	340
19861215	329
19861216	NA
19861217	NA
19861218	NA
19861219	NA
19861220	NA
19861221	NA
19861222	NA
19861223	NA
19861224	NA
19861225	NA
19861226	NA
19861227	NA
19861228	NA
19861229	NA
19861230	NA
19861231	NA
19870101	NA
19870102	NA
19870103	NA
19870104	NA
19870105	NA
19870106	NA
19870107	NA
19870108	NA
19870109	NA
19870110	NA
19870111	NA
19870112	NA
19870113	NA
19870114	NA
19870115	NA
19870116	NA
19870117	NA
19870118	NA
19870119	NA
19870120	NA
19870121	NA
19870122	NA
19870123	NA
19870124	NA
19870125	NA
19870126	NA
19870127	NA
19870128	NA
19870129	NA
19870130	NA
19870131	NA
19870201	NA
19870202	NA
19870203	NA
19870204	NA
19870205	NA
19870206	NA
19870207	NA
19870208	NA
19870209	NA
19870210	NA
19870211	NA
19870212	NA
19870213	NA
19870214	NA
19870215	NA
19870216	NA
19870217	NA
19870218	NA
19870219	NA
19870220	NA
19870221	NA
19870222	NA
19870223	NA
19870224	NA
19870225	NA
19870226	NA
19870227	NA
19870228	NA
19870301	NA
19870302	NA
19870303	NA
19870304	NA
19870305	NA
19870306	NA
19870307	NA
19870308	NA
19870309	NA
19870310	NA
19870311	NA
19870312	NA
19870313	NA
19870314	NA
19870315	NA
19870316	NA
19870317	NA
19870318	NA
19870319	NA
19870320	NA
