Date	Value
19800502	75
19800503	91
19800504	NA
19800505	NA
19800506	88
19800507	80
19800508	NA
19800509	NA
19800510	NA
19800511	NA
19800512	NA
19800513	NA
19800514	91
19800515	NA
19800516	81
19800517	81
19800518	95
19800519	82
19800520	NA
19800521	88
19800522	88
19800523	85
19800524	83
19800525	85
19800526	92
19800527	85
19800528	82
19800529	89
19800530	82
19800531	88
19800601	85
19800602	NA
19800603	90
19800604	87
19800605	81
19800606	95
19800607	86
19800608	93
19800609	84
19800610	92
19800611	85
19800612	97
19800613	84
19800614	NA
19800615	89
19800616	79
19800617	88
19800618	92
19800619	89
19800620	98
19800621	89
19800622	88
19800623	85
19800624	82
19800625	89
19800626	87
19800627	86
19800628	96
19800629	85
19800630	93
19800701	89
19800702	87
19800703	91
19800704	85
19800705	95
19800706	86
19800707	85
19800708	80
19800709	87
19800710	86
19800711	96
19800712	86
19800713	80
19800714	89
19800715	94
19800716	90
19800717	82
19800718	94
19800719	91
19800720	94
19800721	91
19800722	94
19800723	93
19800724	86
19800725	86
19800726	79
19800727	84
19800728	NA
19800729	93
19800730	88
19800731	90
19800801	NA
19800802	NA
19800803	NA
19800804	NA
19800805	NA
19800806	NA
19800807	NA
19800808	NA
19800809	NA
19800810	NA
19800811	NA
19800812	NA
19800813	NA
19800814	NA
19800815	NA
19800816	NA
19800817	NA
19800818	NA
19800819	NA
19800820	NA
19800821	NA
19800822	NA
19800823	NA
19800824	NA
19800825	NA
19800826	NA
19800827	NA
19800828	NA
19800829	NA
19800830	NA
19800831	NA
19800901	NA
19800902	NA
19800903	NA
19800904	NA
19800905	NA
19800906	NA
19800907	NA
19800908	NA
19800909	NA
19800910	NA
19800911	NA
19800912	NA
19800913	NA
19800914	NA
19800915	NA
19800916	NA
19800917	NA
19800918	NA
19800919	NA
19800920	NA
19800921	NA
19800922	NA
19800923	NA
19800924	NA
19800925	NA
19800926	NA
19800927	NA
19800928	NA
19800929	NA
19800930	NA
19801001	NA
19801002	NA
19801003	NA
19801004	NA
19801005	NA
19801006	NA
19801007	NA
19801008	NA
19801009	NA
19801010	NA
19801011	NA
19801012	NA
19801013	NA
19801014	NA
19801015	NA
19801016	NA
19801017	NA
19801018	NA
19801019	NA
19801020	NA
19801021	NA
19801022	NA
19801023	NA
19801024	NA
19801025	NA
19801026	NA
19801027	NA
19801028	NA
19801029	NA
19801030	NA
19801031	NA
19801101	NA
19801102	NA
19801103	NA
19801104	NA
19801105	NA
19801106	NA
19801107	NA
19801108	NA
19801109	NA
19801110	NA
19801111	NA
19801112	NA
19801113	NA
19801114	NA
19801115	NA
19801116	NA
19801117	NA
19801118	NA
19801119	NA
19801120	NA
19801121	NA
19801122	NA
19801123	NA
19801124	NA
19801125	NA
19801126	NA
19801127	NA
19801128	NA
19801129	NA
19801130	NA
19801201	NA
19801202	NA
19801203	NA
19801204	NA
19801205	NA
19801206	NA
19801207	NA
19801208	NA
19801209	NA
19801210	NA
19801211	NA
19801212	NA
19801213	NA
19801214	NA
19801215	NA
19801216	NA
19801217	NA
19801218	NA
19801219	NA
19801220	NA
19801221	NA
19801222	NA
19801223	NA
19801224	NA
19801225	NA
19801226	NA
19801227	NA
19801228	NA
19801229	NA
19801230	NA
19801231	NA
19810101	NA
19810102	NA
19810103	NA
19810104	NA
19810105	NA
19810106	NA
19810107	NA
19810108	NA
19810109	NA
19810110	NA
19810111	NA
19810112	NA
19810113	NA
19810114	NA
19810115	NA
19810116	NA
19810117	NA
19810118	NA
19810119	NA
19810120	NA
19810121	NA
19810122	NA
19810123	NA
19810124	NA
19810125	NA
19810126	NA
19810127	NA
19810128	NA
19810129	NA
19810130	NA
19810131	NA
19810201	NA
19810202	NA
19810203	NA
19810204	NA
19810205	NA
19810206	NA
19810207	NA
19810208	NA
19810209	NA
19810210	NA
19810211	NA
19810212	NA
19810213	NA
19810214	NA
19810215	NA
19810216	NA
19810217	NA
19810218	NA
19810219	NA
19810220	NA
19810221	NA
19810222	NA
19810223	NA
19810224	NA
19810225	NA
19810226	NA
19810227	NA
19810228	NA
19810301	NA
19810302	NA
19810303	NA
19810304	NA
19810305	NA
19810306	NA
19810307	NA
19810308	NA
19810309	NA
19810310	NA
19810311	NA
19810312	NA
19810313	NA
19810314	NA
19810315	NA
19810316	NA
19810317	NA
19810318	NA
19810319	NA
19810320	NA
19810321	NA
19810322	NA
19810323	NA
19810324	NA
19810325	NA
19810326	NA
19810327	NA
19810328	NA
19810329	NA
19810330	NA
19810331	NA
19810401	NA
19810402	NA
19810403	NA
19810404	NA
19810405	NA
19810406	NA
19810407	NA
19810408	NA
19810409	NA
19810410	NA
19810411	NA
19810412	NA
19810413	NA
19810414	NA
19810415	NA
19810416	NA
19810417	NA
19810418	NA
19810419	NA
19810420	NA
19810421	NA
19810422	NA
19810423	NA
19810424	NA
19810425	NA
19810426	NA
19810427	NA
19810428	NA
19810429	NA
19810430	NA
19810501	NA
19810502	NA
19810503	NA
19810504	NA
19810505	NA
19810506	NA
19810507	NA
19810508	NA
19810509	NA
19810510	NA
19810511	NA
19810512	NA
19810513	NA
19810514	NA
19810515	NA
19810516	NA
