Date	Value
19810701	6.2
19810702	9.6
19810703	2.5
19810704	4.3
19810705	0
19810706	7
19810707	9.6
19810708	2.7
19810709	3.5
19810710	0.8
19810711	4.1
19810712	9.4
19810713	6.3
19810714	4.7
19810715	6.3
19810716	6.1
19810717	0.4
19810718	9.6
19810719	1.3
19810720	0.8
19810721	3.3
19810722	3
19810723	7.9
19810724	5.2
19810725	5.2
19810726	2.6
19810727	6.5
19810728	4.2
19810729	4.1
19810730	4.9
19810731	1.3
19810801	6.6
19810802	2.2
19810803	4.7
19810804	4.6
19810805	6
19810806	6.8
19810807	7.7
19810808	7.1
19810809	3.6
19810810	6
19810811	2.9
19810812	5.8
19810813	3.9
19810814	8.5
19810815	11.2
19810816	11.6
19810817	4.6
19810818	2.3
19810819	8.7
19810820	10.5
19810821	8.3
19810822	1
19810823	2.9
19810824	2.5
19810825	9.2
19810826	0.1
19810827	8.9
19810828	11.2
19810829	1.2
19810830	3.1
19810831	5.9
19810901	2
19810902	5.6
19810903	5.9
19810904	1.3
19810905	6.6
19810906	8.6
19810907	7
19810908	5.6
19810909	5.8
19810910	7.3
19810911	5.1
19810912	10.1
19810913	7.7
19810914	4.9
19810915	0.2
19810916	0.4
19810917	5.8
19810918	9.5
19810919	8.6
19810920	0.5
19810921	8.2
19810922	9.3
19810923	1.8
19810924	3.4
19810925	0.3
19810926	5.9
19810927	8.5
19810928	1.1
19810929	5.8
19810930	8.7
19811001	2.5
19811002	9.3
19811003	3.7
19811004	8.3
19811005	4.3
19811006	10
19811007	10.5
19811008	3.3
19811009	1.3
19811010	6.3
19811011	8.5
19811012	9.3
19811013	9.6
19811014	6
19811015	8.6
19811016	3.8
19811017	9.8
19811018	6.8
19811019	2.5
19811020	10.5
19811021	9.9
19811022	1.2
19811023	6.7
19811024	0.9
19811025	4.3
19811026	7.1
19811027	5.9
19811028	9.2
19811029	9.2
19811030	1
19811031	5.1
19811101	5.9
19811102	9.1
19811103	9.3
19811104	10
19811105	3.4
19811106	9.4
19811107	5.5
19811108	10.2
19811109	8.9
19811110	10.6
19811111	10.2
19811112	10
19811113	8.6
19811114	10
19811115	10.8
19811116	9.6
19811117	8.6
19811118	10.5
19811119	10.6
19811120	9.7
19811121	2.1
19811122	2.3
19811123	6.9
19811124	5.7
19811125	6.3
19811126	5
19811127	5.9
19811128	5.1
19811129	9
19811130	6.5
19811201	7.2
19811202	5.6
19811203	5.2
19811204	0.3
19811205	0.1
19811206	4
19811207	0.4
19811208	1.7
19811209	0.3
19811210	2.6
19811211	1
19811212	3.7
19811213	4.5
19811214	0.1
19811215	4.2
19811216	3.9
19811217	2.8
19811218	3.4
19811219	4.3
19811220	4.2
19811221	3.2
19811222	3.6
19811223	4.2
19811224	3.5
19811225	2.3
19811226	0.6
19811227	0.6
19811228	1.6
19811229	3.7
19811230	3.4
19811231	4.3
19820101	4.9
19820102	4.2
19820103	4.4
19820104	4.5
19820105	4.1
19820106	3.7
19820107	4.8
19820108	4.9
19820109	4.8
19820110	5.6
19820111	5.6
19820112	4.2
19820113	5.5
19820114	5.7
19820115	5.2
19820116	6.5
19820117	6.5
19820118	7.2
19820119	6
19820120	7.8
19820121	10
19820122	8.5
19820123	8.8
19820124	9.2
19820125	9.9
19820126	10.6
19820127	10.8
19820128	9.1
19820129	4.7
19820130	6.6
19820131	8.2
19820201	9.9
19820202	7.7
19820203	9.3
19820204	4.7
19820205	8
19820206	8.4
19820207	9
19820208	6.5
19820209	6.8
19820210	7.1
19820211	4.1
19820212	6.7
19820213	8.6
19820214	4.2
19820215	9.8
19820216	5.7
19820217	6.8
19820218	5.5
19820219	8.7
19820220	3.7
19820221	4.9
19820222	4.5
19820223	7.7
19820224	2.1
19820225	4.5
19820226	4.7
19820227	8.3
19820228	9.2
19820301	10.7
19820302	10.2
19820303	9.9
19820304	10.6
19820305	8.9
19820306	10.2
19820307	9.8
19820308	10.2
19820309	8
19820310	8.8
19820311	5.4
19820312	8.9
