"Date"	"Value"	"Out4Desv"
2005-01-01	0	NA
2005-01-02	0	NA
2005-01-03	23.8	NA
2005-01-04	5.9	NA
2005-01-05	0	NA
2005-01-06	2.6	NA
2005-01-07	0	NA
2005-01-08	2.8	NA
2005-01-09	0	NA
2005-01-10	0	NA
2005-01-11	0	NA
2005-01-12	0	NA
2005-01-13	0	NA
2005-01-14	7.4	NA
2005-01-15	0.1	NA
2005-01-16	0.1	NA
2005-01-17	2.4	NA
2005-01-18	0	NA
2005-01-19	0	NA
2005-01-20	0	NA
2005-01-21	0	NA
2005-01-22	1.3	NA
2005-01-23	0.9	NA
2005-01-24	0	NA
2005-01-25	0	NA
2005-01-26	0	NA
2005-01-27	0	NA
2005-01-28	0	NA
2005-01-29	0	NA
2005-01-30	0	NA
2005-01-31	0	NA
2005-02-01	0	NA
2005-02-02	0.2	NA
2005-02-03	0	NA
2005-02-04	6.7	NA
2005-02-05	0	NA
2005-02-06	0	NA
2005-02-07	0	NA
2005-02-08	0	NA
2005-02-09	1.1	NA
2005-02-10	26.5	NA
2005-02-11	52.5	NA
2005-02-12	7.7	NA
2005-02-13	0.8	NA
2005-02-14	0.1	NA
2005-02-15	1.8	NA
2005-02-16	0	NA
2005-02-17	0	NA
2005-02-18	0	NA
2005-02-19	0	NA
2005-02-20	0	NA
2005-02-21	0	NA
2005-02-22	0.1	NA
2005-02-23	0.1	NA
2005-02-24	0	NA
2005-02-25	0	NA
2005-02-26	0	NA
2005-02-27	1	NA
2005-02-28	1.6	NA
2005-03-01	0	NA
2005-03-02	1.8	NA
2005-03-03	13.2	NA
2005-03-04	3.1	NA
2005-03-05	0	NA
2005-03-06	1.1	NA
2005-03-07	0	NA
2005-03-08	0	NA
2005-03-09	12.1	NA
2005-03-10	7.5	NA
2005-03-11	0	NA
2005-03-12	0	NA
2005-03-13	0	NA
2005-03-14	0	NA
2005-03-15	0	NA
2005-03-16	0.1	NA
2005-03-17	0	NA
2005-03-18	1.4	NA
2005-03-19	10.1	NA
2005-03-20	0.1	NA
2005-03-21	0	NA
2005-03-22	0.8	NA
2005-03-23	9.5	NA
2005-03-24	1.4	NA
2005-03-25	0	NA
2005-03-26	0	NA
2005-03-27	0.1	NA
2005-03-28	5.1	NA
2005-03-29	4.4	NA
2005-03-30	10.9	NA
2005-03-31	0	NA
2005-04-01	0.1	NA
2005-04-02	1	NA
2005-04-03	6.1	NA
2005-04-04	3.3	NA
2005-04-05	0	NA
2005-04-06	9.4	NA
2005-04-07	0.5	NA
2005-04-08	19.5	NA
2005-04-09	1.4	NA
2005-04-10	0.7	NA
2005-04-11	0	NA
2005-04-12	2.2	NA
2005-04-13	0	NA
2005-04-14	0	NA
2005-04-15	0	NA
2005-04-16	0	NA
2005-04-17	4.6	NA
2005-04-18	0	NA
2005-04-19	0	NA
2005-04-20	7.1	NA
2005-04-21	0	NA
2005-04-22	39.5	NA
2005-04-23	16.2	NA
2005-04-24	1.2	NA
2005-04-25	1.6	NA
2005-04-26	20.9	NA
2005-04-27	0.5	NA
2005-04-28	11.4	NA
2005-04-29	6.4	NA
2005-04-30	1	NA
2005-05-01	0	NA
2005-05-02	0	NA
2005-05-03	57.7	"Out4SD"
2005-05-04	0.3	NA
2005-05-05	3.5	NA
2005-05-06	0	NA
2005-05-07	0	NA
2005-05-08	0	NA
2005-05-09	0.2	NA
2005-05-10	1.3	NA
2005-05-11	1.4	NA
2005-05-12	0.7	NA
2005-05-13	0	NA
2005-05-14	0.7	NA
2005-05-15	0	NA
2005-05-16	0.2	NA
2005-05-17	0	NA
2005-05-18	0.7	NA
2005-05-19	0	NA
2005-05-20	0.1	NA
2005-05-21	2.9	NA
2005-05-22	2.2	NA
2005-05-23	0.4	NA
2005-05-24	0	NA
2005-05-25	0	NA
2005-05-26	1.3	NA
2005-05-27	16.5	NA
2005-05-28	0.6	NA
2005-05-29	0	NA
2005-05-30	2.2	NA
2005-05-31	7	NA
2005-06-01	0	NA
2005-06-02	0.1	NA
2005-06-03	0	NA
2005-06-04	7.3	NA
2005-06-05	4	NA
2005-06-06	1.2	NA
2005-06-07	0	NA
2005-06-08	0	NA
2005-06-09	0	NA
2005-06-10	0.7	NA
2005-06-11	0.1	NA
2005-06-12	0	NA
2005-06-13	0	NA
2005-06-14	0.3	NA
2005-06-15	0	NA
2005-06-16	0	NA
2005-06-17	0	NA
2005-06-18	0.9	NA
2005-06-19	0.1	NA
2005-06-20	0.3	NA
2005-06-21	0.7	NA
2005-06-22	0.3	NA
2005-06-23	0	NA
2005-06-24	0	NA
2005-06-25	0	NA
2005-06-26	1.8	NA
2005-06-27	3.4	NA
2005-06-28	0	NA
2005-06-29	8.8	NA
2005-06-30	1	NA
2005-07-01	4.8	NA
2005-07-02	0.1	NA
2005-07-03	0	NA
2005-07-04	2.1	NA
2005-07-05	4.4	NA
2005-07-06	0.4	NA
2005-07-07	0.2	NA
2005-07-08	0	NA
2005-07-09	0	NA
2005-07-10	0	NA
2005-07-11	0	NA
2005-07-12	0	NA
2005-07-13	0	NA
2005-07-14	3.6	NA
2005-07-15	0	NA
2005-07-16	0.9	NA
2005-07-17	0	NA
2005-07-18	0.6	NA
2005-07-19	0	NA
2005-07-20	1	NA
2005-07-21	0.5	NA
2005-07-22	0	NA
2005-07-23	0	NA
2005-07-24	0	NA
2005-07-25	0	NA
2005-07-26	0	NA
2005-07-27	0.7	NA
2005-07-28	0	NA
2005-07-29	0.4	NA
2005-07-30	1.3	NA
2005-07-31	0	NA
2005-08-01	3	NA
2005-08-02	1.3	NA
2005-08-03	0	NA
2005-08-04	0.1	NA
2005-08-05	0	NA
2005-08-06	0	NA
2005-08-07	0.4	NA
2005-08-08	4.8	NA
2005-08-09	0	NA
2005-08-10	0.5	NA
