"Date"	"Value"	"Out4Desv"
2005-01-01	31.8	NA
2005-01-02	30.8	NA
2005-01-03	30.6	NA
2005-01-04	32	NA
2005-01-05	31.2	NA
2005-01-06	26.6	NA
2005-01-07	29.4	NA
2005-01-08	31.4	NA
2005-01-09	30.6	NA
2005-01-10	30.6	NA
2005-01-11	31	NA
2005-01-12	31	NA
2005-01-13	32.4	NA
2005-01-14	33.6	NA
2005-01-15	30.4	NA
2005-01-16	30	NA
2005-01-17	28	NA
2005-01-18	28	NA
2005-01-19	29.2	NA
2005-01-20	29	NA
2005-01-21	29.4	NA
2005-01-22	29.4	NA
2005-01-23	30.6	NA
2005-01-24	30.8	NA
2005-01-25	30	NA
2005-01-26	32.6	NA
2005-01-27	32.4	NA
2005-01-28	33	NA
2005-01-29	30	NA
2005-01-30	31.4	NA
2005-01-31	33.2	NA
2005-02-01	33.8	NA
2005-02-02	32	NA
2005-02-03	30.6	NA
2005-02-04	29	NA
2005-02-05	28.4	NA
2005-02-06	32.8	NA
2005-02-07	33.6	NA
2005-02-08	29.4	NA
2005-02-09	31	NA
2005-02-10	26.4	NA
2005-02-11	32	NA
2005-02-12	26.4	NA
2005-02-13	30	NA
2005-02-14	31.4	NA
2005-02-15	30.8	NA
2005-02-16	31	NA
2005-02-17	32	NA
2005-02-18	30.6	NA
2005-02-19	31.2	NA
2005-02-20	31.2	NA
2005-02-21	33.6	NA
2005-02-22	33.4	NA
2005-02-23	33.6	NA
2005-02-24	34.4	NA
2005-02-25	32	NA
2005-02-26	33	NA
2005-02-27	33.6	NA
2005-02-28	29.6	NA
2005-03-01	32.4	NA
2005-03-02	28.6	NA
2005-03-03	30.4	NA
2005-03-04	25.2	NA
2005-03-05	30	NA
2005-03-06	30	NA
2005-03-07	28.6	NA
2005-03-08	32.2	NA
2005-03-09	29.6	NA
2005-03-10	32	NA
2005-03-11	32.2	NA
2005-03-12	31.6	NA
2005-03-13	32.4	NA
2005-03-14	32.4	NA
2005-03-15	32.4	NA
2005-03-16	32.8	NA
2005-03-17	31	NA
2005-03-18	29.4	NA
2005-03-19	23	"Out3SD"
2005-03-20	28.4	NA
2005-03-21	30.4	NA
2005-03-22	34.6	NA
2005-03-23	28.6	NA
2005-03-24	28	NA
2005-03-25	32.8	NA
2005-03-26	30	NA
2005-03-27	33.8	NA
2005-03-28	31.6	NA
2005-03-29	32.4	NA
2005-03-30	32.4	NA
2005-03-31	28.8	NA
2005-04-01	30.8	NA
2005-04-02	29	NA
2005-04-03	31.2	NA
2005-04-04	31.6	NA
2005-04-05	29.6	NA
2005-04-06	28.4	NA
2005-04-07	28.8	NA
2005-04-08	31.4	NA
2005-04-09	29	NA
2005-04-10	25.2	NA
2005-04-11	31.6	NA
2005-04-12	31.2	NA
2005-04-13	30	NA
2005-04-14	31.4	NA
2005-04-15	29.8	NA
2005-04-16	31.4	NA
2005-04-17	26.4	NA
2005-04-18	31	NA
2005-04-19	34	NA
2005-04-20	33.2	NA
2005-04-21	28	NA
2005-04-22	35.2	NA
2005-04-23	28.4	NA
2005-04-24	30.8	NA
2005-04-25	29.8	NA
2005-04-26	30.4	NA
2005-04-27	31.2	NA
2005-04-28	32	NA
2005-04-29	31.6	NA
2005-04-30	NA	NA
2005-05-01	31.4	NA
2005-05-02	32.6	NA
2005-05-03	31.8	NA
2005-05-04	27	NA
2005-05-05	29.4	NA
2005-05-06	30	NA
2005-05-07	31.2	NA
2005-05-08	31.4	NA
2005-05-09	30.8	NA
2005-05-10	30.6	NA
2005-05-11	29	NA
2005-05-12	29.6	NA
2005-05-13	31	NA
2005-05-14	29.4	NA
2005-05-15	32.4	NA
2005-05-16	30.4	NA
2005-05-17	29.6	NA
2005-05-18	33	NA
2005-05-19	27.4	NA
2005-05-20	32.4	NA
2005-05-21	31.4	NA
2005-05-22	32.2	NA
2005-05-23	24.8	NA
2005-05-24	29.8	NA
2005-05-25	28.8	NA
2005-05-26	30.2	NA
2005-05-27	29.8	NA
2005-05-28	30	NA
2005-05-29	29.6	NA
2005-05-30	30.6	NA
2005-05-31	27	NA
2005-06-01	30.6	NA
2005-06-02	30.8	NA
2005-06-03	31.6	NA
2005-06-04	29.4	NA
2005-06-05	28	NA
