"Date"	"Value"	"Out4Desv"
2005-01-01	71	NA
2005-01-02	58	NA
2005-01-03	73	NA
2005-01-04	74	NA
2005-01-05	75	NA
2005-01-06	90	NA
2005-01-07	66	NA
2005-01-08	68	NA
2005-01-09	78	NA
2005-01-10	73	NA
2005-01-11	75	NA
2005-01-12	73	NA
2005-01-13	69	NA
2005-01-14	71	NA
2005-01-15	73	NA
2005-01-16	77	NA
2005-01-17	77	NA
2005-01-18	75	NA
2005-01-19	71	NA
2005-01-20	73	NA
2005-01-21	71	NA
2005-01-22	71	NA
2005-01-23	67	NA
2005-01-24	68	NA
2005-01-25	70	NA
2005-01-26	62	NA
2005-01-27	57	NA
2005-01-28	57	NA
2005-01-29	84	NA
2005-01-30	90	NA
2005-01-31	74	NA
2005-02-01	70	NA
2005-02-02	77	NA
2005-02-03	73	NA
2005-02-04	79	NA
2005-02-05	79	NA
2005-02-06	68	NA
2005-02-07	69	NA
2005-02-08	88	NA
2005-02-09	86	NA
2005-02-10	90	NA
2005-02-11	81	NA
2005-02-12	88	NA
2005-02-13	78	NA
2005-02-14	75	NA
2005-02-15	72	NA
2005-02-16	71	NA
2005-02-17	69	NA
2005-02-18	73	NA
2005-02-19	68	NA
2005-02-20	80	NA
2005-02-21	67	NA
2005-02-22	73	NA
2005-02-23	68	NA
2005-02-24	56	NA
2005-02-25	62	NA
2005-02-26	59	NA
2005-02-27	62	NA
2005-02-28	92	NA
2005-03-01	72	NA
2005-03-02	81	NA
2005-03-03	82	NA
2005-03-04	94	NA
2005-03-05	85	NA
2005-03-06	80	NA
2005-03-07	88	NA
2005-03-08	79	NA
2005-03-09	87	NA
2005-03-10	76	NA
2005-03-11	76	NA
2005-03-12	77	NA
2005-03-13	77	NA
2005-03-14	77	NA
2005-03-15	69	NA
2005-03-16	67	NA
2005-03-17	73	NA
2005-03-18	81	NA
2005-03-19	88	NA
2005-03-20	78	NA
2005-03-21	82	NA
2005-03-22	59	NA
2005-03-23	73	NA
2005-03-24	87	NA
2005-03-25	65	NA
2005-03-26	76	NA
2005-03-27	66	NA
2005-03-28	77	NA
2005-03-29	71	NA
2005-03-30	70	NA
2005-03-31	88	NA
2005-04-01	76	NA
2005-04-02	70	NA
2005-04-03	77	NA
2005-04-04	75	NA
2005-04-05	77	NA
2005-04-06	88	NA
2005-04-07	80	NA
2005-04-08	NA	NA
2005-04-09	81	NA
2005-04-10	86	NA
2005-04-11	67	NA
2005-04-12	78	NA
2005-04-13	72	NA
2005-04-14	72	NA
2005-04-15	65	NA
2005-04-16	65	NA
2005-04-17	83	NA
2005-04-18	66	NA
2005-04-19	60	NA
2005-04-20	69	NA
2005-04-21	81	NA
2005-04-22	69	NA
2005-04-23	93	NA
2005-04-24	83	NA
2005-04-25	79	NA
2005-04-26	88	NA
2005-04-27	75	NA
2005-04-28	80	NA
2005-04-29	83	NA
2005-04-30	87	NA
2005-05-01	68	NA
2005-05-02	74	NA
2005-05-03	77	NA
2005-05-04	83	NA
2005-05-05	81	NA
2005-05-06	75	NA
2005-05-07	71	NA
2005-05-08	77	NA
2005-05-09	93	NA
2005-05-10	80	NA
2005-05-11	83	NA
2005-05-12	78	NA
2005-05-13	70	NA
2005-05-14	91	NA
2005-05-15	82	NA
2005-05-16	89	NA
2005-05-17	90	NA
2005-05-18	81	NA
2005-05-19	89	NA
2005-05-20	75	NA
2005-05-21	78	NA
2005-05-22	72	NA
2005-05-23	87	NA
2005-05-24	86	NA
2005-05-25	78	NA
2005-05-26	79	NA
2005-05-27	69	NA
2005-05-28	80	NA
2005-05-29	80	NA
2005-05-30	80	NA
2005-05-31	90	NA
2005-06-01	74	NA
2005-06-02	71	NA
2005-06-03	74	NA
2005-06-04	73	NA
2005-06-05	77	NA
