Date	Value
19800201	24.8
19800202	26.8
19800203	24.4
19800204	24.6
19800205	26.2
19800206	27.1
19800207	26.7
19800208	27.9
19800209	NA
19800210	28.5
19800211	27.9
19800212	28.2
19800213	29.2
19800214	28.6
19800215	28.4
19800216	26.3
19800217	25.8
19800218	26.9
19800219	26.9
19800220	25.2
19800221	25.7
19800222	28.4
19800223	28.2
19800224	28.4
19800225	27.5
19800226	28.3
19800227	26.2
19800228	28.5
19800229	28.6
19800301	26.7
19800302	28.6
19800303	28.1
19800304	26.9
19800305	27.5
19800306	NA
19800307	27.8
19800308	28.9
19800309	29.8
19800310	27.9
19800311	27.7
19800312	29.3
19800313	29.2
19800314	27.9
19800315	27.7
19800316	28.2
19800317	26.1
19800318	27.2
19800319	26.3
19800320	27.3
19800321	29.2
19800322	27.1
19800323	26.7
19800324	27.1
19800325	27.9
19800326	28.2
19800327	30.1
19800328	32
19800329	30
19800330	27
19800331	30.1
19800401	29.9
19800402	27.4
19800403	27
19800404	26.9
19800405	25.6
19800406	25.6
19800407	26.3
19800408	27.6
19800409	27.2
19800410	26.9
19800411	24.9
19800412	25.9
19800413	27.6
19800414	26.8
19800415	27.9
19800416	27.6
19800417	28.2
19800418	28.7
19800419	31.2
19800420	30.2
19800421	29.8
19800422	26.6
19800423	24.9
19800424	NA
19800425	27.6
19800426	25.3
19800427	27.2
19800428	29.2
19800429	25.4
19800430	26.9
19800501	NA
19800502	NA
19800503	NA
19800504	NA
19800505	NA
19800506	NA
19800507	NA
19800508	NA
19800509	NA
19800510	NA
19800511	NA
19800512	NA
19800513	NA
19800514	NA
19800515	NA
19800516	NA
19800517	NA
19800518	NA
19800519	NA
19800520	NA
19800521	NA
19800522	NA
19800523	NA
19800524	NA
19800525	NA
19800526	NA
19800527	NA
19800528	NA
19800529	NA
19800530	NA
19800531	NA
19800601	NA
19800602	NA
19800603	NA
19800604	NA
19800605	NA
19800606	NA
19800607	NA
19800608	NA
19800609	NA
19800610	NA
19800611	NA
19800612	NA
19800613	NA
19800614	NA
19800615	NA
19800616	NA
19800617	NA
19800618	NA
19800619	NA
19800620	NA
19800621	NA
19800622	NA
19800623	NA
19800624	NA
19800625	NA
19800626	NA
19800627	NA
19800628	NA
19800629	NA
19800630	NA
19800701	NA
19800702	NA
19800703	NA
19800704	NA
19800705	NA
19800706	NA
19800707	NA
19800708	NA
19800709	NA
19800710	NA
19800711	NA
19800712	NA
19800713	NA
19800714	NA
19800715	NA
19800716	NA
19800717	NA
19800718	NA
19800719	NA
19800720	NA
19800721	NA
19800722	NA
19800723	NA
19800724	NA
19800725	NA
19800726	NA
19800727	NA
19800728	NA
19800729	NA
19800730	NA
19800731	NA
19800801	NA
19800802	NA
19800803	NA
19800804	NA
