"Date"	"Value"	"Out4Desv"
2005-01-01	20	NA
2005-01-02	20.2	NA
2005-01-03	20.6	NA
2005-01-04	20	NA
2005-01-05	20.4	NA
2005-01-06	NA	NA
2005-01-07	20	NA
2005-01-08	20.2	NA
2005-01-09	21.2	NA
2005-01-10	21	NA
2005-01-11	21	NA
2005-01-12	20	NA
2005-01-13	20.6	NA
2005-01-14	20.2	NA
2005-01-15	21.6	NA
2005-01-16	21.6	NA
2005-01-17	20.6	NA
2005-01-18	20.4	NA
2005-01-19	20	NA
2005-01-20	18.8	NA
2005-01-21	19.8	NA
2005-01-22	20	NA
2005-01-23	20.2	NA
2005-01-24	18.8	NA
2005-01-25	20	NA
2005-01-26	21.4	NA
2005-01-27	20	NA
2005-01-28	20.2	NA
2005-01-29	20	NA
2005-01-30	NA	NA
2005-01-31	NA	NA
2005-02-01	21	NA
2005-02-02	NA	NA
2005-02-03	21.6	NA
2005-02-04	21.4	NA
2005-02-05	21.2	NA
2005-02-06	20.2	NA
2005-02-07	20	NA
2005-02-08	20.8	NA
2005-02-09	20.2	NA
2005-02-10	NA	NA
2005-02-11	NA	NA
2005-02-12	20.4	NA
2005-02-13	20.6	NA
2005-02-14	20.2	NA
2005-02-15	19.8	NA
2005-02-16	20	NA
2005-02-17	20	NA
2005-02-18	20.2	NA
2005-02-19	19	NA
2005-02-20	19.8	NA
2005-02-21	21	NA
2005-02-22	20.4	NA
2005-02-23	21	NA
2005-02-24	22	NA
2005-02-25	21.6	NA
2005-02-26	22.8	NA
2005-02-27	NA	NA
2005-02-28	21.8	NA
2005-03-01	20.4	NA
2005-03-02	NA	NA
2005-03-03	NA	NA
2005-03-04	NA	NA
2005-03-05	20	NA
2005-03-06	20.2	NA
2005-03-07	20	NA
2005-03-08	21	NA
2005-03-09	20.4	NA
2005-03-10	NA	NA
2005-03-11	21	NA
2005-03-12	NA	NA
2005-03-13	20	NA
2005-03-14	20.6	NA
2005-03-15	21.6	NA
2005-03-16	20.6	NA
2005-03-17	22.4	NA
2005-03-18	20.4	NA
2005-03-19	21.2	NA
2005-03-20	21.4	NA
2005-03-21	20.2	NA
2005-03-22	20	NA
2005-03-23	21.6	NA
2005-03-24	20.4	NA
2005-03-25	20.4	NA
2005-03-26	22	NA
2005-03-27	21.4	NA
2005-03-28	21.4	NA
2005-03-29	20.8	NA
2005-03-30	20.6	NA
