"Date"	"Value"	"Out4Desv"
2005-01-01	71	NA
2005-01-02	71	NA
2005-01-03	74	NA
2005-01-04	NA	NA
2005-01-05	74	NA
2005-01-06	76	NA
2005-01-07	73	NA
2005-01-08	79	NA
2005-01-09	79	NA
2005-01-10	75	NA
2005-01-11	74	NA
2005-01-12	74	NA
2005-01-13	73	NA
2005-01-14	NA	NA
2005-01-15	90	NA
2005-01-16	NA	NA
2005-01-17	88	NA
2005-01-18	82	NA
2005-01-19	77	NA
2005-01-20	72	NA
2005-01-21	77	NA
2005-01-22	76	NA
2005-01-23	77	NA
2005-01-24	84	NA
2005-01-25	NA	NA
2005-01-26	76	NA
2005-01-27	73	NA
2005-01-28	76	NA
2005-01-29	72	NA
2005-01-30	NA	NA
2005-01-31	74	NA
2005-02-01	81	NA
2005-02-02	74	NA
2005-02-03	72	NA
2005-02-04	78	NA
2005-02-05	75	NA
2005-02-06	77	NA
2005-02-07	72	NA
2005-02-08	86	NA
2005-02-09	89	NA
2005-02-10	87	NA
2005-02-11	90	NA
2005-02-12	NA	NA
2005-02-13	80	NA
2005-02-14	79	NA
2005-02-15	70	NA
2005-02-16	71	NA
2005-02-17	76	NA
2005-02-18	76	NA
2005-02-19	76	NA
2005-02-20	NA	NA
2005-02-21	72	NA
2005-02-22	72	NA
2005-02-23	73	NA
2005-02-24	71	NA
2005-02-25	NA	NA
2005-02-26	NA	NA
2005-02-27	NA	NA
2005-02-28	NA	NA
2005-03-01	75	NA
2005-03-02	NA	NA
2005-03-03	80	NA
2005-03-04	83	NA
2005-03-05	80	NA
2005-03-06	NA	NA
2005-03-07	76	NA
2005-03-08	80	NA
2005-03-09	NA	NA
2005-03-10	75	NA
2005-03-11	NA	NA
2005-03-12	74	NA
2005-03-13	NA	NA
2005-03-14	84	NA
2005-03-15	73	NA
2005-03-16	73	NA
2005-03-17	NA	NA
2005-03-18	77	NA
2005-03-19	NA	NA
2005-03-20	72	NA
2005-03-21	75	NA
2005-03-22	69	NA
2005-03-23	68	NA
2005-03-24	75	NA
2005-03-25	NA	NA
2005-03-26	NA	NA
2005-03-27	NA	NA
2005-03-28	NA	NA
2005-03-29	74	NA
2005-03-30	70	NA
2005-03-31	72	NA
2005-04-01	91	NA
2005-04-02	72	NA
2005-04-03	NA	NA
2005-04-04	75	NA
2005-04-05	70	NA
2005-04-06	82	NA
2005-04-07	80	NA
2005-04-08	NA	NA
2005-04-09	NA	NA
2005-04-10	NA	NA
2005-04-11	86	NA
2005-04-12	NA	NA
2005-04-13	NA	NA
2005-04-14	NA	NA
2005-04-15	NA	NA
2005-04-16	NA	NA
2005-04-17	80	NA
2005-04-18	NA	NA
2005-04-19	NA	NA
2005-04-20	85	NA
2005-04-21	79	NA
2005-04-22	85	NA
2005-04-23	79	NA
2005-04-24	NA	NA
2005-04-25	81	NA
2005-04-26	72	NA
2005-04-27	NA	NA
2005-04-28	78	NA
2005-04-29	NA	NA
2005-04-30	74	NA
2005-05-01	NA	NA
2005-05-02	NA	NA
2005-05-03	NA	NA
2005-05-04	79	NA
2005-05-05	NA	NA
2005-05-06	NA	NA
2005-05-07	NA	NA
2005-05-08	NA	NA
2005-05-09	71	NA
2005-05-10	NA	NA
2005-05-11	74	NA
2005-05-12	77	NA
2005-05-13	83	NA
2005-05-14	77	NA
2005-05-15	NA	NA
2005-05-16	NA	NA
2005-05-17	76	NA
2005-05-18	85	NA
2005-05-19	NA	NA
2005-05-20	75	NA
2005-05-21	NA	NA
