"Date"	"Value"	"Out4Desv"
2005-01-01	31.6	NA
2005-01-02	31.6	NA
2005-01-03	31.6	NA
2005-01-04	31.4	NA
2005-01-05	32	NA
2005-01-06	31	NA
2005-01-07	31.6	NA
2005-01-08	31	NA
2005-01-09	29.8	NA
2005-01-10	32.2	NA
2005-01-11	32	NA
2005-01-12	32.2	NA
2005-01-13	32	NA
2005-01-14	32.2	NA
2005-01-15	24.8	"Out3SD"
2005-01-16	28.2	NA
2005-01-17	26	NA
2005-01-18	27.8	NA
2005-01-19	29.2	NA
2005-01-20	30	NA
2005-01-21	29	NA
2005-01-22	28.6	NA
2005-01-23	29.4	NA
2005-01-24	27	NA
2005-01-25	29.2	NA
2005-01-26	29.4	NA
2005-01-27	31.2	NA
2005-01-28	31	NA
2005-01-29	30.8	NA
2005-01-30	NA	NA
2005-01-31	30.6	NA
2005-02-01	30	NA
2005-02-02	30.2	NA
2005-02-03	30	NA
2005-02-04	29.6	NA
2005-02-05	28.8	NA
2005-02-06	30.8	NA
2005-02-07	31.6	NA
2005-02-08	28	NA
2005-02-09	25	"Out3SD"
2005-02-10	28.2	NA
2005-02-11	24.8	"Out3SD"
2005-02-12	NA	NA
2005-02-13	27.8	NA
2005-02-14	29.4	NA
2005-02-15	29.8	NA
2005-02-16	29.8	NA
2005-02-17	29.6	NA
2005-02-18	30.4	NA
2005-02-19	31.2	NA
2005-02-20	NA	NA
2005-02-21	30	NA
2005-02-22	30.4	NA
2005-02-23	30.6	NA
2005-02-24	30.4	NA
2005-02-25	NA	NA
2005-02-26	32	NA
2005-02-27	29	NA
2005-02-28	29.8	NA
2005-03-01	30.6	NA
2005-03-02	NA	NA
2005-03-03	30.4	NA
2005-03-04	30.4	NA
2005-03-05	30	NA
2005-03-06	28.4	NA
2005-03-07	29.6	NA
2005-03-08	30.6	NA
2005-03-09	30	NA
2005-03-10	30.4	NA
2005-03-11	NA	NA
2005-03-12	30.6	NA
2005-03-13	31	NA
2005-03-14	31.4	NA
2005-03-15	31.2	NA
2005-03-16	32	NA
2005-03-17	31.2	NA
2005-03-18	30.4	NA
2005-03-19	31.8	NA
2005-03-20	32.2	NA
2005-03-21	30.6	NA
2005-03-22	32.6	NA
2005-03-23	32.2	NA
2005-03-24	30.6	NA
2005-03-25	32	NA
2005-03-26	31.8	NA
2005-03-27	31	NA
2005-03-28	32	NA
2005-03-29	31.4	NA
2005-03-30	30.8	NA
2005-03-31	31.8	NA
2005-04-01	30.8	NA
2005-04-02	32.2	NA
2005-04-03	28.8	NA
2005-04-04	31	NA
2005-04-05	32.8	NA
2005-04-06	29.8	NA
2005-04-07	31.2	NA
2005-04-08	NA	NA
2005-04-09	31	NA
2005-04-10	NA	NA
2005-04-11	30.6	NA
2005-04-12	31	NA
2005-04-13	30.4	NA
2005-04-14	NA	NA
2005-04-15	31.4	NA
2005-04-16	NA	NA
2005-04-17	30.4	NA
2005-04-18	31.4	NA
2005-04-19	31.2	NA
2005-04-20	28	NA
2005-04-21	30.8	NA
2005-04-22	27.6	NA
2005-04-23	29.8	NA
2005-04-24	NA	NA
2005-04-25	28.2	NA
2005-04-26	30.8	NA
2005-04-27	30.4	NA
2005-04-28	31.2	NA
2005-04-29	NA	NA
2005-04-30	31.8	NA
2005-05-01	32.6	NA
2005-05-02	NA	NA
2005-05-03	NA	NA
2005-05-04	30	NA
2005-05-05	NA	NA
2005-05-06	NA	NA
2005-05-07	NA	NA
2005-05-08	27.6	NA
2005-05-09	30.6	NA
2005-05-10	30.2	NA
2005-05-11	32.4	NA
2005-05-12	31.2	NA
2005-05-13	31.4	NA
2005-05-14	31.2	NA
2005-05-15	NA	NA
2005-05-16	NA	NA
2005-05-17	30	NA
2005-05-18	26.6	NA
2005-05-19	NA	NA
2005-05-20	30	NA
2005-05-21	30.8	NA
2005-05-22	30.4	NA
2005-05-23	NA	NA
2005-05-24	28.4	NA
2005-05-25	30.4	NA
2005-05-26	NA	NA
2005-05-27	31.4	NA
2005-05-28	31	NA
2005-05-29	31.2	NA
2005-05-30	32.4	NA
2005-05-31	32.4	NA
2005-06-01	31.8	NA
2005-06-02	30.8	NA
2005-06-03	30.2	NA
2005-06-04	32	NA
2005-06-05	32.4	NA
2005-06-06	NA	NA
2005-06-07	30	NA
2005-06-08	30.4	NA
2005-06-09	31.4	NA
2005-06-10	30.6	NA
2005-06-11	31.6	NA
2005-06-12	30	NA
2005-06-13	33.2	NA
2005-06-14	30.8	NA
2005-06-15	29.6	NA
2005-06-16	30.8	NA
2005-06-17	32.2	NA
2005-06-18	33	NA
2005-06-19	32.8	NA
2005-06-20	NA	NA
2005-06-21	29.6	NA
2005-06-22	30.8	NA
2005-06-23	30	NA
2005-06-24	30	NA
2005-06-25	31.6	NA
2005-06-26	30	NA
2005-06-27	31.4	NA
2005-06-28	31.8	NA
2005-06-29	30.4	NA
2005-06-30	31.2	NA
2005-07-01	31.6	NA
2005-07-02	31.4	NA
2005-07-03	32	NA
2005-07-04	31.8	NA
2005-07-05	33.2	NA
2005-07-06	34	NA
2005-07-07	31.6	NA
2005-07-08	30.4	NA
2005-07-09	31.6	NA
2005-07-10	31.2	NA
2005-07-11	31.2	NA
2005-07-12	28.2	NA
2005-07-13	29.2	NA
2005-07-14	30	NA
2005-07-15	29.8	NA
2005-07-16	31.6	NA
2005-07-17	32	NA
2005-07-18	NA	NA
2005-07-19	30.2	NA
2005-07-20	31.4	NA
2005-07-21	31.6	NA
2005-07-22	31.8	NA
2005-07-23	30.2	NA
2005-07-24	32.4	NA
2005-07-25	32.6	NA
2005-07-26	33.4	NA
2005-07-27	33	NA
2005-07-28	32.8	NA
2005-07-29	33.8	NA
2005-07-30	32.4	NA
2005-07-31	32.4	NA
2005-08-01	31.6	NA
2005-08-02	32.2	NA
2005-08-03	31.8	NA
2005-08-04	33	NA
2005-08-05	NA	NA
2005-08-06	32.4	NA
2005-08-07	33.2	NA
2005-08-08	34.8	NA
2005-08-09	32	NA
2005-08-10	31.4	NA
2005-08-11	30.8	NA
2005-08-12	31.4	NA
2005-08-13	30.4	NA
2005-08-14	28.4	NA
2005-08-15	31	NA
2005-08-16	30.8	NA
2005-08-17	28.2	NA
2005-08-18	30.4	NA
2005-08-19	33.8	NA
2005-08-20	33.2	NA
2005-08-21	NA	NA
2005-08-22	30.4	NA
2005-08-23	32.2	NA
2005-08-24	28.8	NA
2005-08-25	30.4	NA
2005-08-26	32	NA
2005-08-27	31.6	NA
2005-08-28	29.6	NA
2005-08-29	31.2	NA
2005-08-30	32.2	NA
2005-08-31	31.8	NA
2005-09-01	33.2	NA
2005-09-02	33.2	NA
2005-09-03	30.4	NA
2005-09-04	32.4	NA
2005-09-05	32.8	NA
2005-09-06	32.8	NA
2005-09-07	31.6	NA
2005-09-08	32.8	NA
2005-09-09	31.2	NA
2005-09-10	32.6	NA
2005-09-11	32.2	NA
2005-09-12	31	NA
2005-09-13	31.6	NA
2005-09-14	31	NA
2005-09-15	30.4	NA
2005-09-16	32	NA
2005-09-17	NA	NA
2005-09-18	30	NA
2005-09-19	31	NA
2005-09-20	30.8	NA
2005-09-21	28.6	NA
2005-09-22	29.4	NA
2005-09-23	NA	NA
2005-09-24	31	NA
2005-09-25	31.8	NA
2005-09-26	29.4	NA
2005-09-27	30.8	NA
2005-09-28	NA	NA
2005-09-29	29	NA
2005-09-30	31.4	NA
2005-10-01	30.4	NA
2005-10-02	29.2	NA
2005-10-03	31.2	NA
2005-10-04	31	NA
2005-10-05	NA	NA
2005-10-06	31.8	NA
2005-10-07	32	NA
2005-10-08	NA	NA
2005-10-09	25.6	"Out3SD"
2005-10-10	NA	NA
2005-10-11	30.5	NA
2005-10-12	NA	NA
2005-10-13	30.4	NA
2005-10-14	30	NA
2005-10-15	NA	NA
2005-10-16	30	NA
2005-10-17	30.8	NA
2005-10-18	29.8	NA
2005-10-19	31	NA
2005-10-20	NA	NA
2005-10-21	31.6	NA
2005-10-22	28.6	NA
2005-10-23	29.8	NA
2005-10-24	NA	NA
2005-10-25	30	NA
2005-10-26	27.8	NA
2005-10-27	30	NA
2005-10-28	26.8	NA
2005-10-29	27.8	NA
2005-10-30	27.4	NA
2005-10-31	29.6	NA
2005-11-01	30	NA
2005-11-02	30.6	NA
2005-11-03	30.6	NA
2005-11-04	29.6	NA
2005-11-05	29.4	NA
2005-11-06	31	NA
2005-11-07	31	NA
2005-11-08	31.6	NA
2005-11-09	29	NA
2005-11-10	29.8	NA
2005-11-11	28.4	NA
2005-11-12	29.6	NA
2005-11-13	29.6	NA
2005-11-14	29.6	NA
2005-11-15	30.6	NA
2005-11-16	NA	NA
2005-11-17	29.8	NA
2005-11-18	29.6	NA
2005-11-19	28.6	NA
2005-11-20	29.4	NA
2005-11-21	28	NA
2005-11-22	28	NA
2005-11-23	NA	NA
2005-11-24	NA	NA
2005-11-25	NA	NA
2005-11-26	28.4	NA
2005-11-27	NA	NA
2005-11-28	29.6	NA
2005-11-29	29.4	NA
2005-11-30	29.4	NA
2005-12-01	29.4	NA
2005-12-02	NA	NA
2005-12-03	29.4	NA
2005-12-04	29.8	NA
2005-12-05	28.4	NA
2005-12-06	26	NA
2005-12-07	27.6	NA
2005-12-08	NA	NA
2005-12-09	29.6	NA
2005-12-10	30	NA
2005-12-11	29.8	NA
2005-12-12	29.8	NA
2005-12-13	29.6	NA
2005-12-14	29.6	NA
2005-12-15	28.6	NA
2005-12-16	29.2	NA
2005-12-17	NA	NA
2005-12-18	29.2	NA
2005-12-19	28.8	NA
2005-12-20	27.8	NA
2005-12-21	29.8	NA
2005-12-22	NA	NA
2005-12-23	29	NA
2005-12-24	29.2	NA
2005-12-25	29.4	NA
2005-12-26	28.8	NA
2005-12-27	NA	NA
2005-12-28	30.4	NA
2005-12-29	30	NA
2005-12-30	29.8	NA
2005-12-31	NA	NA
2006-01-01	29.4	NA
2006-01-02	29.6	NA
2006-01-03	28.4	NA
2006-01-04	27.4	NA
2006-01-05	22.4	"Out3SD"
2006-01-06	26.8	NA
2006-01-07	27.2	NA
2006-01-08	28.4	NA
2006-01-09	29.8	NA
2006-01-10	29.4	NA
2006-01-11	30.2	NA
2006-01-12	NA	NA
2006-01-13	30	NA
2006-01-14	30.8	NA
2006-01-15	28.8	NA
2006-01-16	30.4	NA
2006-01-17	30.2	NA
2006-01-18	29	NA
2006-01-19	NA	NA
2006-01-20	29.4	NA
2006-01-21	32	NA
2006-01-22	31.2	NA
2006-01-23	31.2	NA
2006-01-24	30.2	NA
2006-01-25	31.8	NA
2006-01-26	31.4	NA
2006-01-27	30.4	NA
2006-01-28	31.6	NA
2006-01-29	30	NA
2006-01-30	31.8	NA
2006-01-31	31.2	NA
2006-02-01	30.4	NA
2006-02-02	31.6	NA
2006-02-03	NA	NA
2006-02-04	29	NA
2006-02-05	30.2	NA
2006-02-06	29.4	NA
2006-02-07	30.4	NA
2006-02-08	30.2	NA
2006-02-09	30.4	NA
2006-02-10	30.4	NA
2006-02-11	31.6	NA
2006-02-12	31.6	NA
2006-02-13	31	NA
2006-02-14	30.2	NA
2006-02-15	31.2	NA
2006-02-16	32.6	NA
2006-02-17	31.2	NA
2006-02-18	31.4	NA
2006-02-19	31.8	NA
2006-02-20	NA	NA
2006-02-21	31.8	NA
2006-02-22	31.2	NA
2006-02-23	32.4	NA
2006-02-24	33	NA
2006-02-25	31.8	NA
2006-02-26	NA	NA
2006-02-27	27	NA
2006-02-28	29.6	NA
2006-03-01	NA	NA
2006-03-02	32	NA
2006-03-03	NA	NA
2006-03-04	NA	NA
2006-03-05	29.8	NA
2006-03-06	NA	NA
2006-03-07	27.4	NA
2006-03-08	28.2	NA
2006-03-09	28.2	NA
2006-03-10	29.4	NA
2006-03-11	NA	NA
2006-03-12	29.8	NA
2006-03-13	29.2	NA
2006-03-14	29.8	NA
2006-03-15	NA	NA
2006-03-16	29.4	NA
2006-03-17	29.6	NA
2006-03-18	29.6	NA
2006-03-19	29.6	NA
2006-03-20	29.4	NA
2006-03-21	29.6	NA
2006-03-22	29	NA
2006-03-23	NA	NA
2006-03-24	NA	NA
2006-03-25	30.2	NA
2006-03-26	NA	NA
2006-03-27	30.8	NA
2006-03-28	30.8	NA
2006-03-29	NA	NA
2006-03-30	31.8	NA
2006-03-31	28.8	NA
2006-04-01	29.6	NA
2006-04-02	NA	NA
2006-04-03	30	NA
2006-04-04	30	NA
2006-04-05	29.6	NA
2006-04-06	29.4	NA
2006-04-07	NA	NA
2006-04-08	30	NA
2006-04-09	31.6	NA
2006-04-10	NA	NA
2006-04-11	30	NA
2006-04-12	27	NA
2006-04-13	NA	NA
2006-04-14	27	NA
2006-04-15	28.6	NA
2006-04-16	NA	NA
2006-04-17	30.8	NA
2006-04-18	30	NA
2006-04-19	32.4	NA
2006-04-20	NA	NA
2006-04-21	32	NA
2006-04-22	32.4	NA
2006-04-23	31.4	NA
2006-04-24	30	NA
2006-04-25	28.4	NA
2006-04-26	28.6	NA
2006-04-27	NA	NA
2006-04-28	30.4	NA
2006-04-29	31	NA
2006-04-30	25.4	"Out3SD"
2006-05-01	31.2	NA
2006-05-02	31.2	NA
2006-05-03	31.2	NA
2006-05-04	32	NA
2006-05-05	NA	NA
2006-05-06	30.6	NA
2006-05-07	NA	NA
2006-05-08	28.6	NA
2006-05-09	30	NA
2006-05-10	NA	NA
2006-05-11	NA	NA
2006-05-12	NA	NA
2006-05-13	29.4	NA
2006-05-14	NA	NA
2006-05-15	30	NA
2006-05-16	29.4	NA
2006-05-17	28.8	NA
2006-05-18	28.2	NA
2006-05-19	28.6	NA
2006-05-20	NA	NA
2006-05-21	30.6	NA
2006-05-22	31.2	NA
2006-05-23	30.6	NA
2006-05-24	30.8	NA
2006-05-25	NA	NA
2006-05-26	31.6	NA
2006-05-27	31	NA
2006-05-28	31.2	NA
2006-05-29	28.8	NA
2006-05-30	NA	NA
2006-05-31	31.2	NA
2006-06-01	NA	NA
2006-06-02	29.4	NA
2006-06-03	30.2	NA
2006-06-04	31	NA
2006-06-05	29.4	NA
2006-06-06	27	NA
2006-06-07	NA	NA
2006-06-08	26.8	NA
2006-06-09	NA	NA
2006-06-10	29	NA
2006-06-11	28.4	NA
2006-06-12	31.2	NA
2006-06-13	30.6	NA
2006-06-14	26.4	NA
2006-06-15	NA	NA
2006-06-16	29.8	NA
2006-06-17	29.6	NA
2006-06-18	30.6	NA
2006-06-19	30.2	NA
2006-06-20	NA	NA
2006-06-21	27.4	NA
2006-06-22	30.8	NA
2006-06-23	31.4	NA
2006-06-24	NA	NA
2006-06-25	31	NA
2006-06-26	32	NA
2006-06-27	31.2	NA
2006-06-28	32.2	NA
2006-06-29	31.8	NA
2006-06-30	33	NA
2006-07-01	NA	NA
2006-07-02	33.6	NA
2006-07-03	30	NA
2006-07-04	28.4	NA
2006-07-05	NA	NA
2006-07-06	31.6	NA
2006-07-07	30.6	NA
2006-07-08	31.2	NA
2006-07-09	31.4	NA
2006-07-10	32.4	NA
2006-07-11	32	NA
2006-07-12	32	NA
2006-07-13	31.4	NA
2006-07-14	30.4	NA
2006-07-15	30.6	NA
2006-07-16	29.6	NA
2006-07-17	30.6	NA
2006-07-18	30.6	NA
2006-07-19	NA	NA
2006-07-20	30.4	NA
2006-07-21	30.6	NA
2006-07-22	29	NA
2006-07-23	29.6	NA
2006-07-24	30.2	NA
2006-07-25	30.4	NA
2006-07-26	NA	NA
2006-07-27	26.2	NA
2006-07-28	24	"Out3SD"
2006-07-29	29.8	NA
2006-07-30	30.8	NA
2006-07-31	31.2	NA
2006-08-01	32	NA
2006-08-02	31.4	NA
2006-08-03	31.2	NA
2006-08-04	31.2	NA
2006-08-05	NA	NA
2006-08-06	31.6	NA
2006-08-07	31	NA
2006-08-08	31.8	NA
2006-08-09	NA	NA
2006-08-10	33.2	NA
2006-08-11	NA	NA
2006-08-12	31.6	NA
2006-08-13	32.6	NA
2006-08-14	33.4	NA
2006-08-15	32.8	NA
2006-08-16	NA	NA
2006-08-17	29.8	NA
2006-08-18	28.2	NA
2006-08-19	NA	NA
2006-08-20	32.6	NA
2006-08-21	30.2	NA
2006-08-22	31.6	NA
2006-08-23	33.2	NA
2006-08-24	NA	NA
2006-08-25	NA	NA
2006-08-26	NA	NA
2006-08-27	NA	NA
2006-08-28	30.8	NA
2006-08-29	33.4	NA
2006-08-30	29.2	NA
2006-08-31	31.2	NA
2006-09-01	NA	NA
2006-09-02	31.4	NA
2006-09-03	30.8	NA
2006-09-04	30.6	NA
