"Date"	"Value"	"Out4Desv"
2005-01-01	0	NA
2005-01-02	0	NA
2005-01-03	0	NA
2005-01-04	0	NA
2005-01-05	0	NA
2005-01-06	0	NA
2005-01-07	0	NA
2005-01-08	0	NA
2005-01-09	8	NA
2005-01-10	9	NA
2005-01-11	0	NA
2005-01-12	0	NA
2005-01-13	5	NA
2005-01-14	21	NA
2005-01-15	13	NA
2005-01-16	47	NA
2005-01-17	49	NA
2005-01-18	3	NA
2005-01-19	0	NA
2005-01-20	0	NA
2005-01-21	8	NA
2005-01-22	0	NA
2005-01-23	2	NA
2005-01-24	3	NA
2005-01-25	0	NA
2005-01-26	0	NA
2005-01-27	0	NA
2005-01-28	0	NA
2005-01-29	6	NA
2005-01-30	0	NA
2005-01-31	0	NA
2005-02-01	0	NA
2005-02-02	0	NA
2005-02-03	0	NA
2005-02-04	0	NA
2005-02-05	0	NA
2005-02-06	21	NA
2005-02-07	22	NA
2005-02-08	70	NA
2005-02-09	9	NA
2005-02-10	50	NA
2005-02-11	138	"Out4SD"
2005-02-12	7	NA
2005-02-13	0	NA
2005-02-14	0	NA
2005-02-15	10	NA
2005-02-16	0	NA
2005-02-17	0	NA
2005-02-18	0	NA
2005-02-19	0	NA
2005-02-20	0	NA
2005-02-21	0	NA
2005-02-22	0	NA
2005-02-23	0	NA
2005-02-24	0	NA
2005-02-25	0	NA
2005-02-26	10	NA
2005-02-27	19	NA
2005-02-28	0	NA
2005-03-01	57	NA
2005-03-02	16	NA
2005-03-03	0	NA
2005-03-04	0	NA
2005-03-05	0	NA
2005-03-06	49	NA
2005-03-07	0	NA
2005-03-08	29	NA
2005-03-09	0	NA
2005-03-10	0	NA
2005-03-11	0	NA
2005-03-12	0	NA
2005-03-13	0	NA
2005-03-14	0	NA
2005-03-15	0	NA
2005-03-16	0	NA
2005-03-17	0	NA
2005-03-18	0	NA
2005-03-19	0	NA
2005-03-20	0	NA
2005-03-21	0	NA
2005-03-22	0	NA
2005-03-23	0	NA
2005-03-24	0	NA
2005-03-25	0	NA
2005-03-26	0	NA
2005-03-27	0	NA
2005-03-28	0	NA
2005-03-29	6	NA
2005-03-30	0	NA
2005-03-31	0	NA
2005-04-01	0	NA
2005-04-02	52	NA
2005-04-03	0	NA
2005-04-04	0	NA
2005-04-05	2	NA
2005-04-06	8	NA
2005-04-07	0	NA
2005-04-08	6	NA
2005-04-09	18	NA
2005-04-10	8	NA
2005-04-11	23	NA
2005-04-12	48	NA
2005-04-13	0	NA
2005-04-14	60	NA
2005-04-15	0	NA
2005-04-16	0	NA
2005-04-17	0	NA
2005-04-18	0	NA
2005-04-19	5	NA
2005-04-20	0	NA
2005-04-21	3	NA
2005-04-22	0	NA
2005-04-23	9	NA
2005-04-24	0	NA
2005-04-25	0	NA
2005-04-26	0	NA
2005-04-27	0	NA
2005-04-28	5	NA
2005-04-29	16	NA
2005-04-30	24	NA
2005-05-01	0	NA
2005-05-02	14	NA
2005-05-03	0	NA
2005-05-04	3	NA
2005-05-05	29	NA
2005-05-06	10	NA
2005-05-07	5	NA
2005-05-08	0	NA
2005-05-09	7	NA
2005-05-10	0	NA
2005-05-11	0	NA
2005-05-12	0	NA
2005-05-13	18	NA
2005-05-14	11	NA
2005-05-15	0	NA
2005-05-16	14	NA
2005-05-17	9	NA
2005-05-18	21	NA
2005-05-19	0	NA
2005-05-20	0	NA
2005-05-21	24	NA
2005-05-22	38	NA
2005-05-23	2	NA
2005-05-24	0	NA
2005-05-25	0	NA
2005-05-26	11	NA
2005-05-27	2	NA
2005-05-28	0	NA
2005-05-29	0	NA
2005-05-30	14	NA
2005-05-31	3	NA
2005-06-01	1	NA
2005-06-02	8	NA
2005-06-03	0	NA
2005-06-04	25	NA
2005-06-05	22	NA
2005-06-06	22	NA
2005-06-07	0	NA
2005-06-08	0	NA
2005-06-09	6	NA
2005-06-10	16	NA
2005-06-11	23	NA
2005-06-12	0	NA
2005-06-13	0	NA
2005-06-14	2	NA
2005-06-15	0	NA
2005-06-16	2	NA
2005-06-17	0	NA
2005-06-18	1	NA
2005-06-19	0	NA
2005-06-20	0	NA
2005-06-21	0	NA
2005-06-22	5	NA
2005-06-23	0	NA
2005-06-24	6	NA
2005-06-25	3	NA
2005-06-26	5	NA
2005-06-27	0	NA
2005-06-28	0	NA
2005-06-29	25	NA
2005-06-30	2	NA
2005-07-01	0	NA
2005-07-02	0	NA
2005-07-03	1	NA
2005-07-04	0	NA
2005-07-05	0	NA
2005-07-06	0	NA
2005-07-07	0	NA
2005-07-08	2	NA
2005-07-09	6	NA
2005-07-10	2	NA
2005-07-11	1	NA
2005-07-12	5	NA
2005-07-13	2	NA
2005-07-14	3	NA
2005-07-15	1	NA
2005-07-16	0	NA
2005-07-17	0	NA
2005-07-18	6	NA
2005-07-19	3	NA
2005-07-20	0	NA
2005-07-21	14	NA
2005-07-22	0	NA
2005-07-23	0	NA
2005-07-24	0	NA
2005-07-25	0	NA
2005-07-26	0	NA
2005-07-27	0	NA
2005-07-28	3	NA
2005-07-29	0	NA
2005-07-30	0	NA
2005-07-31	0	NA
2005-08-01	2	NA
2005-08-02	1	NA
2005-08-03	0	NA
2005-08-04	5	NA
2005-08-05	5	NA
2005-08-06	2	NA
2005-08-07	10	NA
2005-08-08	60	NA
2005-08-09	4	NA
2005-08-10	2	NA
2005-08-11	2	NA
2005-08-12	0	NA
2005-08-13	0	NA
2005-08-14	0	NA
2005-08-15	4	NA
2005-08-16	8	NA
2005-08-17	0	NA
2005-08-18	0	NA
2005-08-19	10	NA
2005-08-20	6	NA
2005-08-21	3	NA
2005-08-22	34	NA
2005-08-23	0	NA
2005-08-24	6	NA
2005-08-25	1	NA
2005-08-26	3	NA
2005-08-27	8	NA
2005-08-28	2	NA
