"month","day","year","23145020","23195110","24055070"
"01","01","2005",NA,71,NA
"01","02","2005",87,71,NA
"01","03","2005",NA,74,NA
"01","04","2005",90,NA,NA
"01","05","2005",89,74,NA
"01","06","2005",88,76,NA
"01","07","2005",93,73,NA
"01","08","2005",NA,79,NA
"01","09","2005",NA,79,NA
"01","10","2005",87,75,NA
"01","11","2005",92,74,NA
"01","12","2005",87,74,NA
"01","13","2005",90,73,NA
"01","14","2005",NA,NA,NA
"01","15","2005",NA,90,NA
"01","16","2005",90,NA,NA
"01","17","2005",NA,88,NA
"01","18","2005",87,82,NA
"01","19","2005",95,77,NA
"01","20","2005",NA,72,NA
"01","21","2005",NA,77,NA
"01","22","2005",87,76,NA
"01","23","2005",NA,77,NA
"01","24","2005",88,84,NA
"01","25","2005",NA,NA,NA
"01","26","2005",91,76,NA
"01","27","2005",NA,73,NA
"01","28","2005",89,76,NA
"01","29","2005",86,72,NA
"01","30","2005",NA,NA,NA
"01","31","2005",NA,74,NA
"02","01","2005",82,81,NA
"02","02","2005",NA,74,NA
"02","03","2005",NA,72,NA
"02","04","2005",85,78,NA
"02","05","2005",78,75,NA
"02","06","2005",93,77,NA
"02","07","2005",NA,72,NA
"02","08","2005",93,86,NA
"02","09","2005",97,89,NA
"02","10","2005",94,87,NA
"02","11","2005",95,90,NA
"02","12","2005",93,NA,NA
"02","13","2005",NA,80,NA
"02","14","2005",93,79,NA
"02","15","2005",NA,70,NA
"02","16","2005",95,71,NA
"02","17","2005",NA,76,NA
"02","18","2005",88,76,NA
"02","19","2005",NA,76,NA
"02","20","2005",77,NA,NA
"02","21","2005",87,72,NA
"02","22","2005",NA,72,NA
"02","23","2005",85,73,NA
"02","24","2005",NA,71,NA
"02","25","2005",83,NA,NA
"02","26","2005",86,NA,NA
"02","27","2005",74,NA,NA
"02","28","2005",81,NA,NA
"03","01","2005",NA,75,NA
"03","02","2005",87,NA,NA
"03","03","2005",NA,80,NA
"03","04","2005",NA,83,NA
"03","05","2005",85,80,NA
"03","06","2005",NA,NA,NA
"03","07","2005",NA,76,NA
"03","08","2005",NA,80,NA
"03","09","2005",91,NA,NA
"03","10","2005",91,75,NA
"03","11","2005",83,NA,NA
"03","12","2005",NA,74,NA
"03","13","2005",NA,NA,NA
"03","14","2005",NA,84,NA
"03","15","2005",NA,73,NA
"03","16","2005",NA,73,NA
"03","17","2005",92,NA,NA
"03","18","2005",NA,77,NA
"03","19","2005",NA,NA,NA
"03","20","2005",NA,72,NA
"03","21","2005",NA,75,NA
"03","22","2005",82,69,NA
"03","23","2005",NA,68,NA
"03","24","2005",82,75,NA
"03","25","2005",NA,NA,NA
"03","26","2005",NA,NA,NA
"03","27","2005",86,NA,NA
"03","28","2005",NA,NA,NA
"03","29","2005",80,74,NA
"03","30","2005",NA,70,NA
"03","31","2005",NA,72,NA
"04","01","2005",91,91,NA
"04","02","2005",NA,72,NA
"04","03","2005",88,NA,NA
"04","04","2005",89,75,NA
"04","05","2005",NA,70,NA
"04","06","2005",NA,82,NA
"04","07","2005",NA,80,NA
"04","08","2005",NA,NA,NA
"04","09","2005",NA,NA,NA
"04","10","2005",NA,NA,NA
"04","11","2005",82,86,NA
"04","12","2005",NA,NA,NA
"04","13","2005",85,NA,NA
"04","14","2005",NA,NA,NA
"04","15","2005",85,NA,NA
"04","16","2005",NA,NA,NA
"04","17","2005",NA,80,NA
"04","18","2005",NA,NA,NA
"04","19","2005",NA,NA,NA
"04","20","2005",94,85,0
"04","21","2005",NA,79,0
"04","22","2005",NA,85,NA
"04","23","2005",97,79,NA
"04","24","2005",NA,NA,18.5
"04","25","2005",NA,81,NA
"04","26","2005",NA,72,24.4166666666667
"04","27","2005",NA,NA,24.5833333333333
"04","28","2005",90,78,24.6666666666667
"04","29","2005",NA,NA,NA
"04","30","2005",88,74,NA
"05","01","2005",NA,NA,NA
"05","02","2005",NA,NA,24.25
"05","03","2005",NA,NA,24.4583333333333
"05","04","2005",NA,79,24.5
"05","05","2005",NA,NA,24.4583333333333
"05","06","2005",NA,NA,24.7083333333333
"05","07","2005",NA,NA,24.3333333333333
"05","08","2005",NA,NA,NA
"05","09","2005",NA,71,24.5
"05","10","2005",NA,NA,24.375
"05","11","2005",NA,74,24.25
"05","12","2005",NA,77,24.125
"05","13","2005",NA,83,24.3333333333333
"05","14","2005",NA,77,24.5833333333333
"05","15","2005",NA,NA,NA
"05","16","2005",NA,NA,NA
"05","17","2005",NA,76,NA
"05","18","2005",NA,85,NA
"05","19","2005",NA,NA,24.7916666666667
"05","20","2005",NA,75,24.8333333333333
"05","21","2005",NA,NA,24.5833333333333
"05","22","2005",NA,76,24.3333333333333
"05","23","2005",NA,NA,NA
"05","24","2005",NA,80,NA
"05","25","2005",NA,71,NA
"05","26","2005",NA,NA,NA
"05","27","2005",NA,75,24.5416666666667
"05","28","2005",NA,75,24.3333333333333
"05","29","2005",NA,75,24.1666666666667
"05","30","2005",NA,74,24.4583333333333
"05","31","2005",NA,NA,NA
"06","01","2005",NA,81,24.4166666666667
"06","02","2005",NA,81,24.5
"06","03","2005",NA,94,24.25
"06","04","2005",NA,NA,24.2916666666667
"06","05","2005",NA,NA,24.4166666666667
"06","06","2005",NA,NA,24.7083333333333
"06","07","2005",NA,81,24.7083333333333
"06","08","2005",NA,85,NA
"06","09","2005",NA,72,NA
"06","10","2005",NA,76,24.2083333333333
"06","11","2005",NA,73,24.3333333333333
"06","12","2005",NA,79,24.2083333333333
"06","13","2005",NA,NA,24.1666666666667
