"","Datos","Duplicated","% duplicated","Errors","% errors","Values out 4 DEV","NA's","% NA's","Date duplicated Different values","Greater Gap"
"23145020_RAIN",3256,0,0,0,0,19,13,0.4,0,3
"23145020_RHUM",3255,0,0,0,0,10,741,22.76,0,62
"23145020_TMAX",3255,0,0,0,0,12,129,3.96,0,15
"23145020_TMIN",3256,0,0,0,0,3,2356,72.36,0,2091
"23195110_RAIN",3286,0,0,0,0,10,687,20.91,0,653
"23195110_RHUM",3287,0,0,0,0,4,1469,44.69,0,655
"23195110_TMAX",3287,0,0,0,0,15,1589,48.34,0,1283
"23195110_TMIN",3287,0,0,0,0,27,875,26.62,0,655
"24050060_RAIN",3287,0,0,0,0,14,1,0.03,0,2
"24055070_RAIN",3178,0,0,4,0.13,10,2205,69.38,0,519
"24055070_RHUM",3178,0,0,3,0.09,0,2537,79.83,0,1078
"24055070_TMAX",3179,0,0,0,0,3,1291,40.61,0,580
"24055070_TMIN",3179,0,0,2,0.06,5,1656,52.09,0,230
"24055070_CCM2_ESOL",3178,0,0,8,0.25,0,2156,67.84,0,519
