Date	Value
19781001	29
19781002	33.4
19781003	31
19781004	32.8
19781005	32.2
19781006	31.4
19781007	31.8
19781008	31.2
19781009	30.4
19781010	30.2
19781011	30
19781012	29.8
19781013	31.4
19781014	31.2
19781015	28.8
19781016	29.4
19781017	29.4
19781018	29.6
19781019	30.8
19781020	30.2
19781021	29.8
19781022	28.8
19781023	27.2
19781024	27.4
19781025	29.6
19781026	27.6
19781027	29.2
19781028	30.2
19781029	28.4
19781030	31.2
19781031	30.4
19781101	29.8
19781102	31.2
19781103	30.6
19781104	30
19781105	30.6
19781106	31.8
19781107	30.8
19781108	31.4
19781109	30
19781110	31.2
19781111	NA
19781112	26.4
19781113	NA
19781114	31
19781115	29.6
19781116	31.6
19781117	30.4
19781118	29
19781119	31.8
19781120	29
19781121	NA
19781122	29.8
19781123	30
19781124	32
19781125	29.8
19781126	31.2
19781127	31.2
19781128	33.2
19781129	31.4
19781130	31
19781201	28.6
19781202	29.6
19781203	29.2
19781204	NA
19781205	29
19781206	31.8
19781207	31.2
19781208	31.8
19781209	NA
19781210	30
19781211	28.8
19781212	29.2
19781213	30.2
19781214	30.4
19781215	29.6
19781216	28.6
19781217	30.8
19781218	29.8
19781219	29.2
19781220	29.8
19781221	31
19781222	30.4
19781223	30.6
19781224	29
19781225	30
19781226	30
19781227	30
19781228	30
19781229	NA
19781230	30.8
19781231	30
19790101	31.8
19790102	32.4
19790103	31.8
19790104	32.2
19790105	NA
19790106	NA
19790107	NA
19790108	30.6
19790109	29.8
19790110	31.8
19790111	30
19790112	30.2
19790113	31.2
19790114	29.8
19790115	30.2
19790116	30.8
19790117	31.2
19790118	32.8
19790119	31.6
19790120	30
19790121	29.6
19790122	27.6
19790123	30.4
19790124	NA
19790125	27.8
19790126	27.8
19790127	NA
19790128	27.4
19790129	29.2
19790130	30.8
19790131	31.4
19790201	31.6
19790202	31.4
19790203	32.6
19790204	32
19790205	31.6
19790206	31.2
19790207	31.8
19790208	31.6
19790209	29.4
19790210	30.8
19790211	30
19790212	31.4
19790213	31.2
19790214	27
19790215	30.6
19790216	31.6
19790217	30.4
19790218	31.2
19790219	30.8
19790220	31.4
19790221	31.8
19790222	31.8
19790223	31.2
19790224	31.4
19790225	31.2
19790226	29.6
19790227	30
19790228	29.4
19790301	31.2
19790302	30.2
19790303	30.6
19790304	29.8
19790305	31
19790306	25.4
