Date	Value
20050419	NA
20050420	-21.9166666666667
20050421	-21.3333333333333
20050422	NA
20050423	NA
20050424	127.625
20050425	NA
20050426	200.125
20050427	181
20050428	160
20050429	NA
20050430	NA
20050501	NA
20050502	173.083333333333
20050503	180
20050504	178.875
20050505	153.708333333333
20050506	174.083333333333
20050507	227.875
20050508	NA
20050509	190.083333333333
20050510	249.958333333333
20050511	183.708333333333
20050512	138.25
20050513	148
20050514	165.833333333333
20050515	NA
20050516	NA
20050517	NA
20050518	NA
20050519	175.833333333333
20050520	173.25
20050521	180.833333333333
20050522	287.291666666667
20050523	NA
20050524	NA
20050525	NA
20050526	NA
20050527	162.916666666667
20050528	212.333333333333
20050529	268.791666666667
20050530	206.083333333333
20050531	NA
20050601	158.25
20050602	177.791666666667
20050603	178
20050604	188.666666666667
20050605	208.958333333333
20050606	141.25
20050607	177.833333333333
20050608	NA
20050609	NA
20050610	228.166666666667
20050611	178.916666666667
20050612	155.541666666667
20050613	197.291666666667
20050614	177.083333333333
20050615	NA
20050616	NA
20050617	222.416666666667
20050618	170.75
20050619	180.083333333333
20050620	134.958333333333
20050621	228.125
20050622	192.75
20050623	NA
20050624	NA
20050625	NA
20050626	178.166666666667
20050627	216.875
20050628	182.125
20050629	NA
20050630	NA
20050701	NA
20050702	NA
20050703	NA
20050704	NA
20050705	1103.16666666667
20050706	243.833333333333
20050707	NA
20050708	NA
20050709	NA
20050710	216.75
20050711	246.458333333333
20050712	204.958333333333
20050713	163.25
20050714	180.625
20050715	173.875
20050716	NA
20050717	176.333333333333
20050718	195.75
20050719	189.333333333333
20050720	NA
20050721	NA
20050722	258.75
20050723	NA
20050724	NA
20050725	248.333333333333
20050726	NA
20050727	210.625
20050728	NA
20050729	NA
20050730	228.208333333333
20050731	NA
20050801	NA
20050802	NA
20050803	NA
20050804	NA
20050805	234
20050806	NA
20050807	NA
20050808	NA
20050809	217.5
20050810	NA
20050811	NA
20050812	232.458333333333
20050813	149.916666666667
20050814	178.208333333333
20050815	222.333333333333
20050816	NA
20050817	NA
20050818	NA
20050819	NA
20050820	NA
20050821	241.083333333333
20050822	160.25
20050823	NA
20050824	NA
20050825	NA
20050826	167.541666666667
20050827	181.458333333333
20050828	126.708333333333
20050829	NA
20050830	204.625
20050831	NA
20050901	234.375
20050902	246.583333333333
20050903	165.791666666667
20050904	NA
20050905	203.333333333333
20050906	NA
20050907	NA
20050908	NA
20050909	216.666666666667
20050910	288.916666666667
20050911	192.041666666667
20050912	NA
20050913	NA
20050914	NA
20050915	NA
20050916	NA
20050917	NA
20050918	NA
20050919	NA
20050920	NA
20050921	NA
20050922	NA
20050923	NA
20050924	177.041666666667
20050925	220.291666666667
20050926	192.583333333333
20050927	146.25
20050928	NA
20050929	NA
20050930	NA
20051001	NA
20051002	NA
20051003	NA
20051004	199.375
20051005	NA
20051006	198.25
20051007	NA
20051008	NA
20051009	NA
20051010	NA
20051011	197.666666666667
20051012	NA
20051013	209.125
20051014	167.416666666667
20051015	229.541666666667
20051016	NA
20051017	197.125
20051018	204.166666666667
20051019	NA
20051020	NA
20051021	NA
20051022	NA
20051023	166
20051024	NA
20051025	181.166666666667
20051026	166.083333333333
20051027	172.958333333333
20051028	NA
20051029	151.125
20051030	NA
20051031	NA
20051101	32778
20051102	NA
20051103	188.208333333333
20051104	177.25
20051105	228.541666666667
20051106	NA
20051107	190.708333333333
20051108	NA
20051109	NA
20051110	193.208333333333
20051111	NA
20051112	151.75
20051113	NA
20051114	148.958333333333
20051115	NA
20051116	NA
20051117	204.833333333333
20051118	166.416666666667
20051119	209.958333333333
20051120	NA
20051121	122.041666666667
20051122	100.958333333333
20051123	NA
20051124	NA
20051125	165.791666666667
20051126	154.291666666667
20051127	208.5
20051128	210.541666666667
20051129	200.75
20051130	NA
20051201	NA
20051202	NA
20051203	146.791666666667
20051204	177.25
20051205	165.208333333333
20051206	NA
20051207	172.5
20051208	141.625
20051209	NA
20051210	212.208333333333
20051211	153.916666666667
20051212	NA
20051213	NA
20051214	NA
20051215	188.083333333333
20051216	NA
20051217	NA
20051218	NA
20051219	NA
20051220	NA
20051221	164.291666666667
20051222	131
20051223	163.25
20051224	NA
20051225	153.833333333333
20051226	NA
20051227	NA
20051228	NA
20051229	219.208333333333
20051230	NA
20051231	209.833333333333
20060101	NA
20060102	NA
20060103	NA
20060104	NA
20060105	NA
20060106	NA
20060107	NA
20060108	NA
20060109	NA
20060110	NA
20060111	NA
20060112	209.875
20060113	NA
20060114	NA
20060115	NA
20060116	NA
20060117	NA
20060118	NA
20060119	NA
20060120	NA
20060121	NA
20060122	228.125
20060123	208.625
20060124	146.916666666667
20060125	NA
20060126	NA
20060127	NA
20060128	NA
20060129	NA
20060130	NA
20060131	NA
20060201	NA
20060202	NA
20060203	NA
20060204	NA
20060205	NA
20060206	NA
20060207	NA
20060210	NA
20060211	NA
20060212	NA
20060213	NA
20060214	NA
20060215	NA
20060216	NA
20060217	NA
20060218	NA
20060219	NA
20060220	NA
20060221	NA
20060222	242.416666666667
20060223	NA
20060224	NA
20060225	NA
20060226	NA
20060227	NA
20060228	NA
20060301	NA
20060302	NA
20060303	NA
20060304	NA
20060305	NA
20060306	NA
20060307	NA
20060308	NA
20060309	NA
20060310	NA
20060311	NA
20060312	NA
20060313	NA
20060314	NA
20060315	NA
20060316	NA
20060317	NA
20060318	NA
20060319	NA
20060320	NA
20060321	NA
20060322	NA
20060323	NA
20060324	NA
20060325	NA
20060326	NA
20060327	NA
20060328	NA
20060329	NA
20060330	NA
20060331	NA
20060401	NA
20060402	NA
20060403	NA
20060404	142.375
20060405	137.875
20060406	NA
20060407	132.625
20060408	151.75
20060409	211.125
20060410	197.291666666667
20060411	NA
20060412	105.125
20060413	NA
20060414	128.208333333333
20060415	152.333333333333
20060416	168
20060417	156
20060418	146.625
20060419	168.083333333333
20060420	218.708333333333
20060421	NA
20060422	250.291666666667
20060423	150.875
20060424	173.75
20060425	156
20060426	147.583333333333
20060427	213.833333333333
20060428	161.291666666667
20060429	NA
20060430	NA
20060501	174.291666666667
20060502	199.5
20060503	160.833333333333
20060504	NA
20060505	135.333333333333
20060506	NA
20060507	NA
20060508	NA
20060509	160.208333333333
20060510	116.625
20060511	224.208333333333
20060512	202.125
20060513	NA
20060514	NA
20060515	202.666666666667
20060516	173.833333333333
20060517	153.75
20060518	157.583333333333
20060519	145.708333333333
20060520	NA
20060521	200.958333333333
20060522	NA
20060523	223.375
20060524	NA
20060525	210.875
20060526	201.208333333333
20060527	158.083333333333
20060528	195.375
20060529	133.208333333333
20060530	NA
20060531	169.5
20060601	198.166666666667
20060602	186.625
20060603	210.375
20060604	202.875
20060605	NA
20060606	NA
20060607	NA
20060608	156.166666666667
20060609	232.5
20060610	156.958333333333
20060611	145.666666666667
20060612	252.916666666667
20060613	251.458333333333
20060614	NA
20060615	200.416666666667
20060616	198.875
20060617	230.625
20060618	214.958333333333
20060619	216.291666666667
20060620	269.916666666667
20060621	111.541666666667
20060622	NA
20060623	NA
20060624	190.958333333333
20060625	198.791666666667
20060626	259.958333333333
20060627	242.541666666667
20060628	NA
20060629	NA
