,Ambiente,Clon,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Dim.6,Dim.7,Dim.8,
Santander-FLE3,Santander,FLE3,1.000,0.041,0.009,0.251,0.584,0.122,0.063,0.008,"No tiene fenil alcohol etílico, tampoco tiene 1H-pirrol-2-carboxaldehído, tampoco tiene benzoilformato de etilo, tampoco presenta 2-Heptanol"
Arauca-FSA12,Arauca,FSA12,0.714,0.035,0.238,0.086,0.066,0.000,0.060,0.275,
Huila-FLE3,Huila,FLE3,0.688,0.032,0.752,0.008,0.083,0.025,0.340,0.002,
Santander-CCN51,Santander,CCN51,0.604,0.759,0.112,0.163,0.245,0.045,0.282,0.159,
Arauca-ICS95,Arauca,ICS95,0.560,0.332,0.212,0.000,0.001,0.090,0.000,0.019,
Santander-SCC55,Santander,SCC55,0.545,0.422,0.093,0.204,0.850,0.007,1.000,0.031,
Huila-FEAR5,Huila,FEAR5,0.536,0.000,0.086,0.023,0.098,0.058,0.145,0.242,
Santander-SCC23,Santander,SCC23,0.515,0.011,0.351,0.003,0.202,0.244,0.047,0.037,
Santander-FSA12,Santander,FSA12,0.339,1.000,0.031,0.010,0.132,0.029,0.021,0.251,
Huila-CCN51,Huila,CCN51,0.318,0.141,0.485,0.029,0.386,0.033,0.049,0.409,
Arauca-CCN51,Arauca,CCN51,0.296,0.267,0.788,0.056,0.016,0.023,0.176,0.328,
Arauca-FSV41,Arauca,FSV41,0.281,0.069,0.286,0.071,0.783,0.230,0.002,0.000,
Huila-SCC80,Huila,SCC80,0.272,0.239,0.003,0.049,0.836,0.035,0.292,0.099,
Huila-FEC2,Huila,FEC2,0.237,0.131,0.030,0.685,0.020,0.318,0.010,0.006,
Santander-FSV41,Santander,FSV41,0.233,0.220,0.145,0.018,0.108,0.755,0.079,0.154,
Arauca-SCC23,Arauca,SCC23,0.225,0.249,0.072,0.164,0.017,0.007,0.068,0.018,
Santander-ICS95,Santander,ICS95,0.155,0.000,0.047,0.107,0.083,0.012,0.533,0.083,
Santander-FEAR5,Santander,FEAR5,0.142,0.043,0.764,0.003,0.278,0.266,0.114,0.136,
Huila-SCC55,Huila,SCC55,0.125,0.064,0.006,0.073,0.676,0.008,0.022,0.000,
Santander-FEC2,Santander,FEC2,0.103,0.001,0.251,0.198,1.000,0.005,0.402,0.185,
Huila-FSA12,Huila,FSA12,0.097,0.011,0.006,0.061,0.726,0.017,0.013,1.000,
Huila-SCC23,Huila,SCC23,0.074,0.441,0.001,0.310,0.000,0.004,0.313,0.197,
Arauca-FEAR5,Arauca,FEAR5,0.069,0.043,0.002,0.452,0.001,0.171,0.690,0.065,
Arauca-FEC2,Arauca,FEC2,0.056,0.021,0.011,1.000,0.930,0.091,0.001,0.009,
Arauca-FLE3,Arauca,FLE3,0.048,0.011,1.000,0.043,0.408,0.098,0.001,0.542,
Arauca-SCC80,Arauca,SCC80,0.023,0.596,0.133,0.064,0.144,0.006,0.464,0.073,
Arauca-SCC55,Arauca,SCC55,0.007,0.669,0.012,0.130,0.006,0.054,0.135,0.035,
Huila-FSV41,Huila,FSV41,0.005,0.154,0.066,0.206,0.002,1.000,0.031,0.001,
Santander-SCC80,Santander,SCC80,0.005,0.543,0.017,0.647,0.827,0.002,0.258,0.046,
Huila-ICS95,Huila,ICS95,0.000,0.448,0.000,0.074,0.014,0.071,0.164,0.510,
