"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5","Dim 6","Dim 7","Dim 8"
"Arauca-CCN51",0.128701059148548,0.10417773024808,0.308500772681477,0.0222738485966069,0.003277919896988,0.00943566574390787,0.0466930041403314,0.0900298922812779
"Arauca-FEAR5",0.0417458831581175,0.0243326317095522,0.00132427233635652,0.24924243535246,0.000299356985988346,0.0983093670537537,0.252464223798015,0.0245414261816127
"Arauca-FEC2",0.0267322873925205,0.00994967417581477,0.00490957242575991,0.438855944909441,0.210461404084817,0.0417371982472588,0.000188535023127392,0.00271623025035477
"Arauca-FLE3",0.0206781207254982,0.0049583889978044,0.384901194808407,0.0169160206821818,0.0824698232540212,0.039836101636917,0.000257018587610792,0.146118513398129
"Arauca-FSA12",0.368480091168848,0.0172415858239592,0.110475488695926,0.0407702908277804,0.0161588972030784,0.0000391059715339256,0.0189119526075029,0.0893280399678261
"Arauca-FSV41",0.173770582990861,0.0391704896023626,0.158973207122943,0.0402528016153183,0.228642801493652,0.135373441656455,0.000934443070677984,0.000147254915555276
"Arauca-ICS95",0.302500425877023,0.160371800717518,0.103355897273322,0.00000517933806903873,0.000383689785613553,0.0463134756422,0.0000016212297849562,0.00655541866056658
"Arauca-SCC23",0.161134888819231,0.159526418828008,0.0463889352414928,0.107786744841578,0.0056610586187723,0.00465669897533154,0.0296376479482686,0.00829136715169067
"Arauca-SCC55",0.00378352129281051,0.340218472010389,0.00630104446001175,0.0679797908533393,0.00150572035233865,0.0294824530404159,0.0467826854351223,0.012697868719749
"Arauca-SCC80",0.0146161710732742,0.335038559368838,0.0760193439082295,0.037002739824779,0.0430552475852392,0.00378456095291665,0.178126107324365,0.0291473895195745
"Huila-CCN51",0.148257041915719,0.0593990488498798,0.203183470498779,0.0125519617744598,0.0848318814977474,0.0145918152705873,0.0138332770802759,0.119891725828744
"Huila-FEAR5",0.279149952503368,0.00129922487726287,0.0403533809576014,0.0108827624705489,0.0241319739449649,0.0288189511045336,0.0459251388592816,0.079451008607193
"Huila-FEC2",0.108537362603211,0.054259725708587,0.0126708258365766,0.2874843637508,0.00430248024479978,0.138840897317857,0.00269800491493579,0.0017171649351225
"Huila-FLE3",0.279855270097074,0.0122622343442311,0.275322065383359,0.0031372984986515,0.0159307247577724,0.00955594694547454,0.0840115587755106,0.000656840270791647
"Huila-FSA12",0.0425597938609838,0.0053078605189231,0.0024128382668867,0.0245620825076249,0.150173087333868,0.0072539113177759,0.00350365681099583,0.275595350077653
"Huila-FSV41",0.00285930658353045,0.0786468635286332,0.0339768122698961,0.106817702296271,0.000482337598446351,0.539020096752126,0.0106379284361943,0.000375401801485162
"Huila-ICS95",0.0000283063225919565,0.266571592533326,0.000236549623949678,0.0449519734868634,0.00433683311903931,0.0452683043656271,0.0663321459849531,0.214012314560432
"Huila-SCC23",0.0424508550511122,0.226254564055929,0.000907619394203269,0.163349318294052,0.00000327615679531441,0.00223000433107991,0.109723705759779,0.0716189611772749
"Huila-SCC55",0.0759580831192184,0.0357979753597987,0.0033154898175409,0.0403293406911959,0.193076870258743,0.00480605908396627,0.00807025883809875,0.0000331983698413848
"Huila-SCC80",0.145612631386663,0.114610796337722,0.00143923882255105,0.0241529490774884,0.211663743109156,0.017856590610653,0.0950399745684128,0.0335388631910515
"Santander-CCN51",0.234411576182456,0.26207167617218,0.0390934227891317,0.058105509702781,0.0448926190919335,0.016808242727041,0.0664631311701022,0.0389643565606747
"Santander-FEAR5",0.0684210140637862,0.019354073782991,0.330097800464106,0.0013506970247127,0.062989871222036,0.121941435317975,0.0333391457917605,0.0412697070150817
"Santander-FEC2",0.0524653608737483,0.00163896601901411,0.115629458721016,0.0928159159264715,0.241356822366833,0.0027028122035152,0.124722522060853,0.0595902221084416
"Santander-FLE3",0.40783040928715,0.0155355410359964,0.00352228522543916,0.0936145678453651,0.112546800939694,0.0474589947369056,0.0155705248385866,0.00207644188757653
"Santander-FSA12",0.139685844474931,0.366437215544451,0.0115716933680359,0.0038227167034632,0.0256196898672429,0.0114088009302624,0.00521637971176416,0.0652248498128522
"Santander-FSV41",0.115509691255375,0.0976454560895704,0.0649416022873583,0.00830889941366102,0.0251989116728194,0.356780670526983,0.0237954011834408,0.0479990460079028
"Santander-ICS95",0.107549344657744,0.00143989805976981,0.0293778410312314,0.0676033346659198,0.0270644616018313,0.00781268982028117,0.224450825382034,0.0362056660543867
"Santander-SCC23",0.263933274177328,0.00619060801767761,0.161927826229697,0.00134168351310664,0.049000874110572,0.119218418819615,0.0146313856958847,0.0120284709089085
"Santander-SCC55",0.174701213387224,0.120750228645935,0.0268623969570398,0.0599154204455765,0.128670720814998,0.00215229544217906,0.194826197263161,0.00631911974319504
"Santander-SCC80",0.00197324409329605,0.19788983335493,0.00626542960939187,0.242632630704186,0.159971876414339,0.000660891431738048,0.0641360167265366,0.0119330250754302
