"","pendiente","ancho_banca","sinuosidad","amp_meandros","long_meandros","t_movilidad","t_movilidad_max","caudal_medio","caudal_maximo","caudal_50","caudal_banca","velocidad","ancho_superficial","diametro_promedio","dev_granulometrica","coef_uniformidad","carga_media"
"pendiente",1,-0.4,0.45,-0.45,-0.78,0.51,0.29,-0.66,-0.54,-0.55,-0.49,0.47,-0.4,0.29,0.18,0.24,-0.12
"ancho_banca",-0.4,1,-0.25,0.29,0.65,-0.04,-0.03,0.64,0.58,0.6,0.54,-0.13,0.74,-0.36,-0.44,-0.53,0.65
"sinuosidad",0.45,-0.25,1,0.39,-0.55,0.62,0.73,-0.45,-0.37,-0.43,-0.54,-0.08,-0.08,0.12,-0.08,-0.01,-0.31
"amp_meandros",-0.45,0.29,0.39,1,0.38,-0.04,0.33,0.36,0.35,0.29,0.14,-0.5,0.3,-0.34,-0.47,-0.5,-0.04
"long_meandros",-0.78,0.65,-0.55,0.38,1,-0.46,-0.39,0.88,0.72,0.76,0.74,-0.23,0.6,-0.24,-0.18,-0.34,0.4
"t_movilidad",0.51,-0.04,0.62,-0.04,-0.46,1,0.78,-0.21,-0.11,-0.15,-0.3,0.31,-0.05,0.13,-0.1,0.04,-0.03
"t_movilidad_max",0.29,-0.03,0.73,0.33,-0.39,0.78,1,-0.21,-0.15,-0.22,-0.39,-0.11,0.03,-0.07,-0.22,-0.11,-0.15
"caudal_medio",-0.66,0.64,-0.45,0.36,0.88,-0.21,-0.21,1,0.9,0.91,0.86,-0.16,0.72,-0.28,-0.27,-0.4,0.5
"caudal_maximo",-0.54,0.58,-0.37,0.35,0.72,-0.11,-0.15,0.9,1,0.96,0.89,0.03,0.64,-0.35,-0.42,-0.52,0.62
"caudal_50",-0.55,0.6,-0.43,0.29,0.76,-0.15,-0.22,0.91,0.96,1,0.9,0.05,0.62,-0.28,-0.35,-0.44,0.6
"caudal_banca",-0.49,0.54,-0.54,0.14,0.74,-0.3,-0.39,0.86,0.89,0.9,1,0.13,0.59,-0.29,-0.33,-0.47,0.61
"velocidad",0.47,-0.13,-0.08,-0.5,-0.23,0.31,-0.11,-0.16,0.03,0.05,0.13,1,-0.28,0.25,0.08,0.11,0.15
"ancho_superficial",-0.4,0.74,-0.08,0.3,0.6,-0.05,0.03,0.72,0.64,0.62,0.59,-0.28,1,-0.2,-0.22,-0.39,0.54
"diametro_promedio",0.29,-0.36,0.12,-0.34,-0.24,0.13,-0.07,-0.28,-0.35,-0.28,-0.29,0.25,-0.2,1,0.88,0.87,-0.6
"dev_granulometrica",0.18,-0.44,-0.08,-0.47,-0.18,-0.1,-0.22,-0.27,-0.42,-0.35,-0.33,0.08,-0.22,0.88,1,0.94,-0.62
"coef_uniformidad",0.24,-0.53,-0.01,-0.5,-0.34,0.04,-0.11,-0.4,-0.52,-0.44,-0.47,0.11,-0.39,0.87,0.94,1,-0.7
"carga_media",-0.12,0.65,-0.31,-0.04,0.4,-0.03,-0.15,0.5,0.62,0.6,0.61,0.15,0.54,-0.6,-0.62,-0.7,1
