pendiente,ancho_banca,sinuosidad,amp_meandros,long_meandros,t_movilidad,t_movilidad_max,caudal_medio,caudal_maximo,caudal_50,caudal_banca,velocidad,ancho_superficial,diametro_promedio,dev_granulometrica,coef_uniformidad,carga_media,varName,periodo
NA,NA,-0.2,0.6,0.9,-0.1,-0.1,1,0.6,0.5,0.8,-0.7,0.9,0.53,0.7,0.2,-0.6,caudal_medio,1
NA,NA,-0.4,0.2,0.7,0.3,0.3,0.6,1,0.9,0.6,-0.1,0.3,0.95,0.5,0.6,-0.8,caudal_maximo,1
NA,NA,-0.3,0.4,0.6,0.1,0.1,0.5,0.9,1,0.7,-0.3,0.1,0.79,0.3,0.3,-0.9,caudal_50,1
NA,NA,-0.5,0.5,0.9,-0.5,-0.5,0.8,0.6,0.7,1,-0.7,0.5,0.37,0.7,0.2,-0.9,caudal_banca,1
NA,NA,-0.2,-0.9,-0.5,0.4,0.4,-0.7,-0.1,-0.3,-0.7,1,-0.6,0,-0.2,0.5,0.4,velocidad,1
NA,NA,0,0.5,0.7,0,0,0.9,0.3,0.1,0.5,-0.6,1,0.32,0.6,0.1,-0.2,ancho_superficial,1
NA,NA,-0.19,0.25,0.62,0.49,0.49,0.53,0.95,0.79,0.37,0,0.32,1,0.31,0.46,-0.58,diametro_promedio,1
NA,NA,-0.83,-0.14,0.77,-0.37,-0.37,0.7,0.5,0.3,0.7,-0.2,0.6,0.31,1,0.83,-0.6,dev_granulometrica,1
NA,NA,-0.77,-0.49,0.49,-0.03,-0.03,0.2,0.6,0.3,0.2,0.5,0.1,0.46,0.83,1,-0.4,coef_uniformidad,1
NA,NA,0.6,-0.3,-0.8,0.3,0.3,-0.6,-0.8,-0.9,-0.9,0.4,-0.2,-0.58,-0.6,-0.4,1,carga_media,1
-0.6,0.89,-0.6,0.09,0.83,0.03,-0.14,1,0.54,0.49,0.83,-0.31,0.66,0.62,0.77,0.49,-0.54,caudal_medio,2
-0.09,0.2,-0.49,0.26,0.43,0.09,-0.31,0.54,1,0.89,0.83,0.26,0.09,0.65,0.2,0.26,-0.26,caudal_maximo,2
0.26,0.2,-0.43,-0.09,0.14,0.37,0.03,0.49,0.89,1,0.66,0.54,0.31,0.62,0.26,0.31,0.14,caudal_50,2
-0.54,0.49,-0.77,0.14,0.77,-0.26,-0.54,0.83,0.83,0.66,1,-0.14,0.26,0.49,0.6,0.43,-0.6,caudal_banca,2
0.83,-0.43,-0.09,-0.54,-0.71,0.54,0.26,-0.31,0.26,0.54,-0.14,1,-0.2,0.19,-0.09,0.31,0.66,velocidad,2
