"","x"
"1",30.958108004066
"2",28.1860529464953
"3",26.5063349761343
"4",69.6760227011202
"5",68.9016445826764
"6",82.113826384346
"7",22.9233368465597
"8",19.6987587910323
"9",18.1615017644725
"10",16.4426775782041
"11",14.4196711876203
"12",26.8022274930359
"13",21.3890549827185
"14",18.3655982596163
"15",16.694260344773
"16",8.90822795453392
"17",6.99416228568047
"18",20.030362921478
"19",21.7142431437226
"20",20.3110670054463
"21",16.9849504842748
"22",15.0373645933505
"23",27.512101509461
"24",23.0228343299652
"25",20.1502186061819
"26",18.4621205803032
"27",19.2106600264008
"28",17.2965943575473
"29",29.6121102188212
"30",19.93557227514
"31",17.1299969954985
"32",15.7435809682576
"33",-6.10192511360858
"34",-7.73106889485964
"35",4.87774890953433
