tramo,periodo,pendiente,ancho_banca,sinuosidad,amp_meandros,long_meandros,t_movilidad,t_movilidad_max,caudal_medio,caudal_maximo,caudal_50,caudal_banca,velocidad,ancho_superficial,diametro_promedio,dev_granulometrica,coef_uniformidad,carga_media
1,1,,,1.84,639,1176,11.5,76.4,176,1257,1467,572,2.06,64,0.0004,1.56,1.88,510032.5
1,2,0.56,109,2.03,835,1196,14.7,23.5,223,1408,1488,819,2.52,64.6,0.0004,1.56,1.88,784299.7
1,3,0.55,104,1.77,722,1254,9.1,17.8,206,984,1042,555,2.02,64.1,0.0004,1.56,1.88,613285
1,4,0.6,95,1.9,705,1190,7.7,16.4,179,768,896,386,1.93,82,0.008,8.38,26.97,48005.61
1,5,0.53,92,2,697,1175,4.6,8.3,182,592,680,452,2.05,69.7,0.008,8.38,26.97,33714.24
1,6,0.62,85,2.27,742,1272,24.9,197.6,202,616,618,527,2.2,64,0.008,8.38,26.97,31118.86
2,1,,,2.24,820,1316,9.7,28.5,260,687,706,663,1.41,116.2,0.0003,1.66,1.49,842729.8
2,2,0.35,119,2.35,834,1286,8.3,39.5,283,1024,1116,786,1.42,122.2,0.0003,1.66,1.49,890305.3
2,3,0.36,109,2.32,863,1262,5.1,26.1,269,1054,1046,740,1.41,120,0.0003,1.66,1.49,849386.5
2,4,0.35,106,2.38,890,1264,5,25.7,243,892,979,508,1.24,106.2,0.0015,3.71,6.32,80827.52
2,5,0.34,104,2.44,915,1265,4,19,248,872,996,598,1.27,108.8,0.0015,3.71,6.32,81598.63
2,6,0.28,91,3.09,929,1264,6.4,25.9,301,1116,1136,775,1.35,113,0.0015,3.71,6.32,98471.5
3,1,,,1.07,453,1414,4,5.5,256,912,1026,789,1.47,95.5,0.0003,2.18,2.22,434358.9
3,2,0.23,114,1.06,457,1446,3.3,5,304,1090,1250,1017,1.51,99.1,0.0003,2.18,2.22,477305.2
3,3,0.22,94,1.06,478,1457,1.8,2.6,285,1058,1059,974,1.5,98.5,0.0003,2.18,2.22,458987.4
3,4,0.22,94,1.07,495,1454,1.5,2,256,993,1047,821,1.48,86.7,0.0015,4.81,7.47,141141.9
3,5,0.2,94,1.08,501,1448,2.3,2.8,282,1017,1200,899,1.49,88,0.0015,4.81,7.47,150452.2
3,6,0.28,82,1.25,440,1433,4.4,9.1,365,1181,1276,1134,1.52,84.4,0.0015,4.81,7.47,164872.6
4,1,,,1.67,909,1715,5.2,13.1,,,,,,,0.0004,1.85,2.05,
4,2,0.2,126,1.72,920,1726,5.2,17.1,393,1028,1097,833,1.02,103.9,0.0004,1.85,2.05,166860.5
4,3,0.19,114,1.56,937,1713,4.2,19.74,354,1096,1147,664,0.99,100.1,0.0004,1.85,2.05,155635
4,4,0.17,110,1.64,955,1720,4,20.4,327,1036,1094,561,0.97,97.7,0.0004,2.26,2.66,138757.3
4,5,0.16,102,1.74,965,1727,2.5,10.2,332,1048,1229,633,0.98,99.4,0.0004,2.26,2.66,139157.3
4,6,0.15,96,1.9,937,1679,5.7,27,414,1192,1358,773,1.01,102.5,0.0004,2.26,2.66,157552.6
5,1,,,1.64,1019,2095,4.3,7.1,480,1429,1867,1581,1.37,113.3,0.0004,1.69,1.54,347879
5,2,0.21,124,1.65,1115,2277,3.4,7,559,2238,2473,1898,1.39,115.1,0.0004,1.69,1.54,394134.9
5,3,0.16,126,1.67,997,2052,3.8,16,503,2277,2410,1834,1.39,114.7,0.0004,1.69,1.54,728193.9
5,4,0.16,118,1.65,960,2080,4,18.3,429,1855,1846,1480,1.55,106.4,0.0004,1.73,1.85,347869.6
5,5,0.16,115,1.62,945,2152,2.8,12.8,482,1947,2042,1628,1.62,107.7,0.0004,1.73,1.85,362452.4
5,6,0.19,102,1.69,934,2133,5.1,16,602,2515,3101,2275,1.56,112.7,0.0004,1.73,1.85,441519.8
6,1,,,1.26,801,2900,10.5,30.4,503,1430,1574,1244,1.44,153,0.0009,2.54,3.71,429668
6,2,0.28,143,1.26,584,1646,15.2,30.1,590,2182,2525,1539,1.55,154,0.0009,2.54,3.71,521079.9
6,3,0.13,179,1.26,758,2903,5.4,9.9,538,2077,2301,1478,1.52,150,0.0009,2.54,3.71,424561.6
6,4,0.15,150,1.24,770,2950,2.8,4.8,453,1861,1864,1199,1.42,142,0.0005,3.49,2.35,831450.9
6,5,0.19,132,1.22,796,3024,1.9,2.6,526,1805,1884,1288,1.45,139.9,0.0005,3.49,2.35,979428.4
6,6,0.36,131,1.59,834,2784,4.7,9.2,651,2253,2576,1661,1.59,141.4,0.0005,3.49,2.35,1225372
