"","Decada 1","Decada 2","Decada 3","Decada 4","Decada 5","Decada 6"
"pendiente",NA,0.202179782021798,0.071992800719928,0.0824917508249175,0.0892910708929107,0.427657234276572
"ancho_banca",NA,0.0176982301769823,0.0072992700729927,0.0050994900509949,0.0164983501649835,0.0044995500449955
"sinuosidad",0.659034096590341,0.427357264273573,0.785921407859214,0.62003799620038,0.464253574642536,0.457654234576542
"amp_meandros",0.357464253574643,0.564143585641436,0.723527647235277,0.750924907509249,0.757624237576242,0.729027097290271
"long_meandros",0.0013998600139986,0.0280971902809719,0.0011998800119988,0.0011998800119988,0.0012998700129987,0.0024997500249975
"t_movilidad",0.594140585941406,0.601539846015398,0.641835816418358,0.391960803919608,0.121387861213879,0.366463353664634
"t_movilidad_max",0.514148585141486,0.944605539446055,0.9003099690031,0.950604939506049,0.901509849015098,0.377862213778622
"caudal_medio",NA,0.0011998800119988,0.0016998300169983,0.0015998400159984,0.0018998100189981,0.0014998500149985
"caudal_maximo",NA,0.0610938906109389,0.005999400059994,0.0022997700229977,0.003999600039996,0.0068993100689931
"caudal_50",NA,0.0570942905709429,0.00999900009999,0.0011998800119988,0.0022997700229977,0.0045995400459954
"caudal_banca",NA,0.045995400459954,0.0365963403659634,0.023997600239976,0.0255974402559744,0.0250974902509749
"velocidad",NA,0.52044795520448,0.73992600739926,0.82001799820018,0.795120487951205,0.634036596340366
"ancho_superficial",NA,0.101189881011899,0.106589341065893,0.0600939906009399,0.0715928407159284,0.113588641135886
"diametro_promedio",0.0496950304969503,0.0511948805119488,0.0491950804919508,0.196980301969803,0.200879912008799,0.207579242075792
"dev_granulometrica",0.327567243275672,0.317268273172683,0.318068193180682,0.157184281571843,0.15988401159884,0.151084891510849
"coef_uniformidad",0.242775722427757,0.241875812418758,0.241275872412759,0.0833916608339166,0.0803919608039196,0.0830916908309169
"carga_media",NA,0.269173082691731,0.942805719428057,0.0031996800319968,0.0033996600339966,0.0023997600239976
